codigo,codigo_ibge,municipio,regiao_imediata,regiao_intermediaria,mesorregiao,populacao,ano,leitos_existentes,leitos_sus,leitos_sus_10k_hab,tem_rede_hospitalar
351080,3510807,Casa Branca,São João da Boa Vista,Campinas,Campinas,28779,2025,250,239,83.05,True
351090,3510906,Cássia dos Coqueiros,Ribeirão Preto,Ribeirão Preto,Ribeirão Preto,2861,2025,0,0,0.0,False
351100,3511003,Castilho,Andradina,Araçatuba,Araçatuba,20485,2025,31,30,14.64,True
351110,3511102,Catanduva,Catanduva,São José do Rio Preto,São José do Rio Preto,119275,2025,638,377,31.61,True
351120,3511201,Catiguá,Catanduva,São José do Rio Preto,São José do Rio Preto,7101,2025,0,0,0.0,False
351130,3511300,Cedral,São José do Rio Preto,São José do Rio Preto,São José do Rio Preto,13314,2025,0,0,0.0,False
351140,3511409,Cerqueira César,Avaré,Sorocaba,Bauru,22210,2025,38,35,15.76,True
351150,3511508,Cerquilho,Sorocaba,Sorocaba,Itapetininga,46391,2025,41,26,5.6,True
351160,3511607,Cesário Lange,Tatuí,Sorocaba,Itapetininga,19707,2025,27,23,11.67,True
351170,3511706,Charqueada,Piracicaba,Campinas,Piracicaba,15814,2025,35,28,17.71,True
351190,3511904,Clementina,Birigui - Penápolis,Araçatuba,Araçatuba,7084,2025,24,21,29.64,True
351200,3512001,Colina,Barretos,Ribeirão Preto,Ribeirão Preto,18880,2025,41,32,16.95,True
351210,3512100,Colômbia,Barretos,Ribeirão Preto,Ribeirão Preto,6802,2025,20,20,29.4,True
351220,3512209,Conchal,Araras,Campinas,Piracicaba,29132,2025,50,40,13.73,True
351230,3512308,Conchas,Botucatu,Bauru,Bauru,15345,2025,15,14,9.12,True
351240,3512407,Cordeirópolis,Limeira,Campinas,Piracicaba,25286,2025,0,0,0.0,False
351250,3512506,Coroados,Birigui - Penápolis,Araçatuba,Araçatuba,5504,2025,0,0,0.0,False
351260,3512605,Coronel Macedo,Avaré,Sorocaba,Itapetininga,4271,2025,2,2,4.68,True
351270,3512704,Corumbataí,Rio Claro,Campinas,Piracicaba,4296,2025,2,2,4.66,True
351280,3512803,Cosmópolis,Campinas,Campinas,Campinas,61167,2025,61,34,5.56,True
351290,3512902,Cosmorama,Votuporanga,São José do Rio Preto,São José do Rio Preto,9019,2025,0,0,0.0,False
351300,3513009,Cotia,São Paulo,São Paulo,Metropolitana de São Paulo,289493,2025,444,138,4.77,True
351310,3513108,Cravinhos,Ribeirão Preto,Ribeirão Preto,Ribeirão Preto,34307,2025,15,13,3.79,True
351320,3513207,Cristais Paulista,Franca,Ribeirão Preto,Ribeirão Preto,9600,2025,0,0,0.0,False
351330,3513306,Cruzália,Assis,Marília,Assis,2123,2025,0,0,0.0,False
351340,3513405,Cruzeiro,Cruzeiro,São José dos Campos,Vale do Paraíba Paulista,76444,2025,179,141,18.44,True
351350,3513504,Cubatão,Santos,São Paulo,Metropolitana de São Paulo,114870,2025,109,109,9.49,True
351360,3513603,Cunha,Guaratinguetá,São José dos Campos,Vale do Paraíba Paulista,22460,2025,40,25,11.13,True
351370,3513702,Descalvado,São Carlos,Araraquara,Araraquara,32663,2025,40,25,7.65,True
351380,3513801,Diadema,São Paulo,São Paulo,Metropolitana de São Paulo,403579,2025,432,432,10.7,True
351385,3513850,Dirce Reis,Jales,São José do Rio Preto,São José do Rio Preto,1639,2025,0,0,0.0,False
351390,3513900,Divinolândia,São José do Rio Pardo - Mococa,Campinas,Campinas,11305,2025,186,186,164.53,True
351400,3514007,Dobrada,Araraquara,Araraquara,Araraquara,8986,2025,0,0,0.0,False
351410,3514106,Dois Córregos,Jaú,Bauru,Bauru,24847,2025,67,47,18.92,True
351420,3514205,Dolcinópolis,Jales,São José do Rio Preto,São José do Rio Preto,2254,2025,0,0,0.0,False
351430,3514304,Dourado,São Carlos,Araraquara,Araraquara,8169,2025,10,10,12.24,True
