posicao,codigo,municipio,indice_criticidade,ocupacao_estimada_pct,internacoes_mil_hab,leitos_sus_10k_hab,variacao_trimestral_pct,internacoes_12m,leitos_sus,populacao,perfil_dominante,alerta_capacidade
211,351640,Franco da Rocha,42.2,48.5,58.47,25.56,4.3,8784,384,150241,XIX. Lesões e envenenamentos por causas externas,Adequado
212,354540,Salto Grande,42.1,23.5,82.64,23.86,31.4,762,22,9221,X. Doenças do aparelho respiratório,Adequado
213,354080,Potirendaba,42.0,28.1,45.87,11.0,15.7,876,21,19097,XIV. Doenças do aparelho geniturinário,Adequado
214,351780,Guaraçaí,41.8,33.4,72.45,20.13,7.0,540,15,7453,XI. Doenças do aparelho digestivo,Adequado
215,351040,Capivari,41.2,41.0,53.01,12.65,-16.9,2723,65,51369,"XV. Gravidez, parto e puerpério",Adequado
216,350130,Álvares Machado,41.1,46.0,25.79,5.99,-24.1,732,17,28386,XIV. Doenças do aparelho geniturinário,Adequado
217,353430,Orlândia,40.8,19.8,70.38,15.33,18.9,2755,60,39144,"XV. Gravidez, parto e puerpério",Adequado
218,355200,Silveiras,40.6,21.0,4.11,3.16,175.0,26,2,6329,X. Doenças do aparelho respiratório,Adequado
219,353340,Nova Odessa,40.4,37.9,25.14,9.29,0.2,1624,60,64596,"XV. Gravidez, parto e puerpério",Adequado
220,351140,Cerqueira César,40.4,32.6,71.77,15.76,-9.8,1594,35,22210,"XV. Gravidez, parto e puerpério",Adequado
221,354530,Salto de Pirapora,40.3,30.0,61.04,10.38,-11.3,2763,47,45262,XXI. Contatos com serviços de saúde,Adequado
222,355010,São Manuel,40.2,36.9,43.14,11.01,-9.2,1645,42,38131,X. Doenças do aparelho respiratório,Adequado
223,354150,Presidente Venceslau,40.2,39.7,60.82,17.31,-12.1,2178,62,35810,X. Doenças do aparelho respiratório,Adequado
224,353290,Nova Europa,39.9,30.1,35.52,12.69,15.2,336,12,9459,IX. Doenças do aparelho circulatório,Adequado
225,352190,Itajobi,39.8,43.2,42.91,20.0,1.8,751,35,17502,X. Doenças do aparelho respiratório,Adequado
226,352880,Maracaí,39.6,34.0,70.21,17.18,-11.3,899,22,12804,II. Neoplasias (tumores),Adequado
227,351990,Iepê,39.4,33.2,92.52,25.84,-4.4,716,20,7739,XIV. Doenças do aparelho geniturinário,Adequado
228,351930,Ibaté,38.1,26.2,28.89,8.75,9.2,958,29,33160,"XV. Gravidez, parto e puerpério",Adequado
229,350790,Brotas,38.0,38.2,28.61,14.29,-0.5,701,35,24501,X. Doenças do aparelho respiratório,Adequado
230,353180,Monte Mor,37.8,38.8,16.07,3.83,-19.6,1090,26,67832,"XV. Gravidez, parto e puerpério",Adequado
231,351600,Flórida Paulista,37.7,22.0,79.09,22.77,14.1,1042,30,13175,X. Doenças do aparelho respiratório,Adequado
232,350530,Barra Bonita,37.6,34.8,55.11,13.38,-20.3,1936,47,35129,X. Doenças do aparelho respiratório,Adequado
233,352360,Itirapina,37.3,15.5,7.48,6.08,54.8,123,10,16454,X. Doenças do aparelho respiratório,Adequado
234,352800,Macatuba,36.9,31.9,44.28,10.5,-16.5,759,18,17140,XI. Doenças do aparelho digestivo,Adequado
235,355360,Tapiratiba,36.8,22.8,33.18,12.6,17.7,395,15,11903,XI. Doenças do aparelho digestivo,Adequado
236,355300,Taguaí,36.5,21.3,51.35,18.37,20.6,671,24,13068,"XV. Gravidez, parto e puerpério",Adequado
237,350220,Angatuba,36.4,27.0,73.33,21.98,0.0,1802,54,24573,"XV. Gravidez, parto e puerpério",Adequado
238,354240,Regente Feijó,35.9,25.6,48.5,16.49,6.0,1000,34,20620,IX. Doenças do aparelho circulatório,Adequado
239,354290,Ribeirão Bonito,35.5,13.2,40.67,15.4,34.1,449,17,11040,XIII. Doenças osteomusculares e do tecido conjuntivo,Adequado
240,352180,Itaí,35.4,23.2,39.42,12.7,5.3,1024,33,25979,X. Doenças do aparelho respiratório,Adequado
241,352170,Itaberá,35.4,32.5,57.44,10.4,-36.7,1049,19,18263,X. Doenças do aparelho respiratório,Adequado
242,353890,Pirajuí,35.1,57.4,59.29,36.51,-16.7,1348,83,22734,XI. Doenças do aparelho digestivo,Adequado
243,354020,Pontal,35.0,19.9,36.93,7.57,-2.4,1414,29,38286,IX. Doenças do aparelho circulatório,Adequado
244,353110,Mongaguá,34.7,29.6,14.5,5.55,-10.8,940,36,64845,X. Doenças do aparelho respiratório,Adequado
245,351860,Guariba,34.7,20.6,36.79,13.7,12.8,1423,53,38678,"XV. Gravidez, parto e puerpério",Adequado
246,352520,Jarinu,34.5,30.6,14.12,4.25,-15.9,565,17,40007,XXI. Contatos com serviços de saúde,Adequado
247,351230,Conchas,34.1,27.8,19.49,9.12,-3.6,299,14,15345,X. Doenças do aparelho respiratório,Adequado
248,351820,Guararapes,33.7,29.5,49.2,19.76,-4.1,1569,63,31888,X. Doenças do aparelho respiratório,Adequado
249,352090,Ipaussu,33.4,25.5,60.42,20.09,-5.4,842,28,13935,X. Doenças do aparelho respiratório,Adequado
250,352740,Lucélia,33.2,29.8,31.55,12.76,-12.3,643,26,20378,X. Doenças do aparelho respiratório,Adequado
251,351760,Guapiara,33.2,26.9,16.89,6.97,-10.1,291,12,17225,X. Doenças do aparelho respiratório,Adequado
252,351410,Dois Córregos,33.1,29.5,51.68,18.92,-11.6,1284,47,24847,X. Doenças do aparelho respiratório,Adequado
253,355580,Urânia,33.0,19.8,48.59,26.75,48.8,436,24,8973,X. Doenças do aparelho respiratório,Adequado
254,354750,Santa Rita do Passa Quatro,33.0,35.3,69.09,100.02,14.0,1727,250,24996,V. Transtornos mentais e comportamentais,Adequado
255,350030,Aguaí,32.8,29.6,12.44,7.3,-13.6,409,24,32886,X. Doenças do aparelho respiratório,Adequado
256,353650,Paulínia,32.8,35.4,45.37,13.2,-100.0,5293,154,116674,X. Doenças do aparelho respiratório,Adequado
257,350070,Agudos,32.8,20.8,28.37,7.18,-8.4,1106,28,38988,"XV. Gravidez, parto e puerpério",Adequado
258,353860,Piracaia,32.2,20.6,18.55,10.45,7.4,497,28,26795,X. Doenças do aparelho respiratório,Adequado
259,350630,Bernardino de Campos,32.2,27.0,63.29,22.73,-9.3,752,27,11881,X. Doenças do aparelho respiratório,Adequado
260,352550,Joanópolis,31.9,20.1,16.45,9.14,4.8,216,12,13131,XIV. Doenças do aparelho geniturinário,Adequado
261,351450,Duartina,31.9,22.2,109.72,27.93,-25.1,1375,35,12532,XIX. Lesões e envenenamentos por causas externas,Adequado
262,353150,Monte Azul Paulista,31.8,16.6,90.42,27.81,2.3,1658,51,18337,VII. Doenças do olho e anexos,Adequado
263,354040,Populina,31.6,27.6,38.02,14.35,-15.8,159,6,4182,X. Doenças do aparelho respiratório,Adequado
264,352280,Itaporanga,31.4,20.4,76.59,22.46,-11.2,1091,32,14245,X. Doenças do aparelho respiratório,Adequado
265,351690,General Salgado,31.2,25.8,43.21,18.2,-7.2,451,19,10437,IX. Doenças do aparelho circulatório,Adequado
266,355680,Viradouro,31.2,16.2,23.86,11.31,9.6,422,20,17685,XIV. Doenças do aparelho geniturinário,Adequado
267,351160,Cesário Lange,31.2,17.1,27.96,11.67,5.3,551,23,19707,XI. Doenças do aparelho digestivo,Adequado
268,354790,Santo Antônio da Alegria,31.1,15.6,23.22,12.98,15.8,161,9,6933,X. Doenças do aparelho respiratório,Adequado
269,355430,Teodoro Sampaio,30.6,25.8,50.67,19.03,-14.3,1145,43,22598,X. Doenças do aparelho respiratório,Adequado
270,353475,Ouroeste,30.2,19.0,53.85,26.27,16.8,574,28,10660,XIV. Doenças do aparelho geniturinário,Adequado
271,350710,Bom Jesus dos Perdões,29.6,28.9,8.68,4.87,-34.5,196,11,22579,X. Doenças do aparelho respiratório,Adequado
272,355470,Torrinha,29.5,7.4,8.96,13.71,66.7,85,13,9484,X. Doenças do aparelho respiratório,Adequado
273,351080,Casa Branca,29.4,35.5,78.6,83.05,-11.4,2262,239,28779,V. Transtornos mentais e comportamentais,Adequado
274,353200,Morungaba,29.3,22.2,16.26,5.65,-21.6,230,8,14147,X. Doenças do aparelho respiratório,Adequado
275,351510,Embu-Guaçu,28.7,17.0,16.79,2.47,-16.4,1157,17,68913,XIX. Lesões e envenenamentos por causas externas,Adequado
276,351100,Castilho,28.0,26.6,46.18,14.64,-51.0,946,30,20485,IX. Doenças do aparelho circulatório,Adequado
277,351910,Iacanga,27.8,17.6,74.0,26.3,-8.7,788,28,10648,XIX. Lesões e envenenamentos por causas externas,Adequado
278,354300,Ribeirão Branco,27.7,27.2,21.75,8.45,-40.4,412,16,18942,X. Doenças do aparelho respiratório,Adequado
279,351310,Cravinhos,26.8,23.7,5.95,3.79,-100.0,204,13,34307,X. Doenças do aparelho respiratório,Adequado
280,353940,Piratininga,26.5,23.7,18.65,13.41,-17.6,292,21,15657,XIV. Doenças do aparelho geniturinário,Adequado
281,353240,Nazaré Paulista,26.2,26.5,17.78,9.1,-100.0,332,17,18675,X. Doenças do aparelho respiratório,Adequado
282,355080,São Sebastião da Grama,26.1,18.5,55.52,24.93,-7.0,579,26,10428,X. Doenças do aparelho respiratório,Adequado
283,355650,Várzea Paulista,25.8,9.1,5.99,6.02,-7.0,717,72,119655,V. Transtornos mentais e comportamentais,Adequado
284,350880,Cafelândia,25.5,19.5,49.92,20.11,-20.9,844,34,16907,VI. Doenças do sistema nervoso,Adequado
285,351900,Herculândia,25.5,12.8,82.12,62.26,15.4,765,58,9316,X. Doenças do aparelho respiratório,Adequado
286,352130,Ipuã,25.3,19.6,74.08,29.25,-16.6,1089,43,14701,XII. Doenças da pele e do tecido subcutâneo,Adequado
287,350670,Boa Esperança do Sul,24.8,10.0,10.07,10.68,0.0,132,14,13113,X. Doenças do aparelho respiratório,Adequado
288,352810,Macaubal,24.3,5.6,10.68,13.19,8.0,81,10,7581,X. Doenças do aparelho respiratório,Adequado
289,353660,Paulo de Faria,24.0,8.5,18.94,24.36,34.5,140,18,7390,X. Doenças do aparelho respiratório,Adequado
290,350310,Arandu,23.4,21.2,13.14,8.48,-48.4,93,6,7076,X. Doenças do aparelho respiratório,Adequado
291,351520,Estrela d'Oeste,21.6,23.0,64.36,27.85,-38.8,624,27,9696,I. Doenças infecciosas e parasitárias,Adequado
292,354860,São Bento do Sapucaí,21.4,19.6,41.2,21.69,-28.3,494,26,11989,X. Doenças do aparelho respiratório,Adequado
293,350930,Cajobi,21.3,14.7,53.96,28.23,-10.3,497,26,9210,II. Neoplasias (tumores),Adequado
294,351770,Guará,21.1,14.9,42.72,24.54,-12.8,801,46,18748,"XV. Gravidez, parto e puerpério",Adequado
295,354400,Rio das Pedras,21.1,6.3,28.77,19.8,-1.2,930,64,32329,XIV. Doenças do aparelho geniturinário,Adequado
296,350340,Arealva,20.9,11.4,31.36,18.09,-15.1,260,15,8290,XIX. Lesões e envenenamentos por causas externas,Adequado
297,352970,Miguelópolis,20.6,17.8,53.06,25.99,-26.2,1041,51,19621,I. Doenças infecciosas e parasitárias,Adequado
298,351170,Charqueada,20.5,13.9,19.73,17.71,-13.5,312,28,15814,XVIII. Sintomas e achados anormais não classificados,Adequado
299,351190,Clementina,20.5,12.3,33.46,29.64,12.7,237,21,7084,X. Doenças do aparelho respiratório,Adequado
300,353740,Pereira Barreto,20.2,13.8,35.67,19.7,-22.7,869,48,24360,XIV. Doenças do aparelho geniturinário,Adequado
301,350680,Bocaina,20.1,6.7,13.76,15.68,-4.8,158,18,11480,X. Doenças do aparelho respiratório,Adequado
302,355090,São Simão,19.2,16.7,22.86,24.34,-9.3,310,33,13560,"IV. Doenças endócrinas, nutricionais e metabólicas",Adequado
303,354380,Rinópolis,18.9,17.9,30.21,24.64,-18.5,282,23,9334,X. Doenças do aparelho respiratório,Adequado
304,353700,Pedregulho,17.3,13.4,67.87,34.95,-19.2,1068,55,15737,X. Doenças do aparelho respiratório,Adequado
305,355000,São Luiz do Paraitinga,16.9,16.1,13.35,15.26,-100.0,140,16,10487,X. Doenças do aparelho respiratório,Adequado
306,354420,Riolândia,16.9,8.2,19.82,23.94,-1.5,207,25,10444,X. Doenças do aparelho respiratório,Adequado
307,353250,Neves Paulista,16.8,5.8,5.43,10.05,-80.0,54,10,9953,X. Doenças do aparelho respiratório,Adequado
308,353600,Parapuã,16.5,8.6,17.16,24.25,0.0,184,26,10720,X. Doenças do aparelho respiratório,Adequado
309,354490,Sales Oliveira,15.2,7.1,19.86,14.55,-48.8,232,17,11683,"XV. Gravidez, parto e puerpério",Adequado
310,350110,Alto Alegre,15.0,3.3,11.62,41.3,70.0,45,16,3874,X. Doenças do aparelho respiratório,Adequado
311,350260,Aparecida d'Oeste,14.3,6.8,21.64,29.18,0.0,89,12,4112,X. Doenças do aparelho respiratório,Adequado
312,355440,Terra Roxa,13.9,1.7,4.52,37.66,28.6,36,30,7965,X. Doenças do aparelho respiratório,Adequado
313,354190,Queluz,13.0,13.4,17.85,20.94,-67.9,162,19,9074,XIV. Doenças do aparelho geniturinário,Adequado
314,352420,Jaborandi,12.4,3.7,8.92,27.07,-7.7,56,17,6280,XIV. Doenças do aparelho geniturinário,Adequado
315,350850,Caçapava,10.8,12.0,39.98,41.27,-15.9,4001,413,100071,XIX. Lesões e envenenamentos por causas externas,Adequado
316,355230,Sud Mennucci,9.5,10.2,25.99,26.8,-50.0,194,20,7464,X. Doenças do aparelho respiratório,Adequado
317,351700,Getulina,8.7,11.9,35.02,31.92,-37.9,362,33,10337,X. Doenças do aparelho respiratório,Adequado
318,352290,Itapuí,7.6,0.5,0.86,24.94,-100.0,12,35,14035,IX. Doenças do aparelho circulatório,Adequado
319,350640,Bilac,6.3,4.6,29.21,46.89,-20.6,218,35,7464,X. Doenças do aparelho respiratório,Adequado
320,351210,Colômbia,4.8,0.7,3.23,29.4,-100.0,22,20,6802,XVIII. Sintomas e achados anormais não classificados,Adequado
321,351660,Gália,1.8,7.3,23.23,42.1,-38.1,149,27,6413,XIV. Doenças do aparelho geniturinário,Adequado
