posicao,codigo,municipio,indice_criticidade,ocupacao_estimada_pct,internacoes_mil_hab,leitos_sus_10k_hab,variacao_trimestral_pct,internacoes_12m,leitos_sus,populacao,perfil_dominante,alerta_capacidade
74,351880,Guarulhos,64.8,89.9,42.24,10.5,-6.8,56988,1417,1349100,"XV. Gravidez, parto e puerpério",Atenção
75,352250,Itapevi,64.7,78.9,65.1,9.22,-7.1,15818,224,242995,"XV. Gravidez, parto e puerpério",Adequado
76,351570,Ferraz de Vasconcelos,64.7,67.1,47.71,9.55,41.2,8897,178,186479,"XV. Gravidez, parto e puerpério",Adequado
77,353620,Pariquera-Açu,64.6,79.4,485.54,70.91,-0.6,9518,139,19603,"XV. Gravidez, parto e puerpério",Adequado
78,355280,Taboão da Serra,64.3,76.8,71.1,11.5,-3.1,20285,328,285307,"XV. Gravidez, parto e puerpério",Adequado
79,351380,Diadema,64.2,78.9,59.48,10.7,-0.3,24003,432,403579,XIX. Lesões e envenenamentos por causas externas,Adequado
80,354660,Santa Fé do Sul,64.1,71.0,97.88,15.98,-2.0,3552,58,36288,XI. Doenças do aparelho digestivo,Adequado
81,355160,Serra Negra,64.1,59.5,84.87,10.63,18.2,2635,33,31047,IX. Doenças do aparelho circulatório,Adequado
82,350410,Atibaia,63.9,86.1,26.24,3.95,-5.9,4387,66,167161,"XV. Gravidez, parto e puerpério",Atenção
83,351020,Capão Bonito,63.8,73.1,61.63,7.8,-0.4,2922,37,47409,"XV. Gravidez, parto e puerpério",Adequado
84,353530,Palmital,63.7,44.6,119.26,14.71,30.4,2351,29,19714,IX. Doenças do aparelho circulatório,Adequado
85,351340,Cruzeiro,63.4,62.1,82.79,18.44,41.1,6329,141,76444,"XV. Gravidez, parto e puerpério",Adequado
86,353550,Paraguaçu Paulista,63.0,61.4,126.66,17.36,-7.3,5326,73,42049,VII. Doenças do olho e anexos,Adequado
87,352430,Jaboticabal,63.0,71.3,30.61,5.17,18.8,2249,38,73473,XI. Doenças do aparelho digestivo,Adequado
88,354850,Santos,62.9,74.5,79.36,16.58,2.7,34090,712,429547,"XV. Gravidez, parto e puerpério",Adequado
89,350650,Birigui,62.4,76.0,39.73,6.24,1.5,4900,77,123340,"XV. Gravidez, parto e puerpério",Adequado
90,350960,Campo Limpo Paulista,62.3,71.0,50.24,6.77,3.9,4008,54,79781,"XV. Gravidez, parto e puerpério",Adequado
91,351960,Ibitinga,62.2,66.8,81.26,9.17,-7.5,5050,57,62143,XIX. Lesões e envenenamentos por causas externas,Adequado
92,352940,Mauá,62.0,78.2,32.39,5.73,-0.5,13897,246,429014,XIX. Lesões e envenenamentos por causas externas,Adequado
