codigo,codigo_capitulo,capitulo_cid10,internacoes
350130,Cap 18,XVIII. Sintomas e achados anormais não classificados,51
350130,Cap 19,XIX. Lesões e envenenamentos por causas externas,55
350160,Cap 01,I. Doenças infecciosas e parasitárias,314
350160,Cap 02,II. Neoplasias (tumores),715
350160,Cap 03,III. Doenças do sangue e transtornos imunitários,54
350160,Cap 04,"IV. Doenças endócrinas, nutricionais e metabólicas",183
350160,Cap 05,V. Transtornos mentais e comportamentais,354
350160,Cap 06,VI. Doenças do sistema nervoso,87
350160,Cap 07,VII. Doenças do olho e anexos,103
350160,Cap 08,VIII. Doenças do ouvido e da apófise mastóide,15
350160,Cap 09,IX. Doenças do aparelho circulatório,1032
350160,Cap 10,X. Doenças do aparelho respiratório,826
350160,Cap 11,XI. Doenças do aparelho digestivo,1294
350160,Cap 12,XII. Doenças da pele e do tecido subcutâneo,265
350160,Cap 13,XIII. Doenças osteomusculares e do tecido conjuntivo,79
350160,Cap 14,XIV. Doenças do aparelho geniturinário,836
350160,Cap 15,"XV. Gravidez, parto e puerpério",1327
350160,Cap 16,XVI. Afecções originadas no período perinatal,210
350160,Cap 17,XVII. Malformações congênitas e anomalias cromossômicas,62
350160,Cap 18,XVIII. Sintomas e achados anormais não classificados,191
350160,Cap 19,XIX. Lesões e envenenamentos por causas externas,1185
350160,Cap 21,XXI. Contatos com serviços de saúde,243
350170,Cap 01,I. Doenças infecciosas e parasitárias,358
350170,Cap 02,II. Neoplasias (tumores),219
350170,Cap 03,III. Doenças do sangue e transtornos imunitários,91
350170,Cap 04,"IV. Doenças endócrinas, nutricionais e metabólicas",208
350170,Cap 05,V. Transtornos mentais e comportamentais,61
350170,Cap 06,VI. Doenças do sistema nervoso,118
350170,Cap 07,VII. Doenças do olho e anexos,1916
350170,Cap 08,VIII. Doenças do ouvido e da apófise mastóide,59
350170,Cap 09,IX. Doenças do aparelho circulatório,530
350170,Cap 10,X. Doenças do aparelho respiratório,868
350170,Cap 11,XI. Doenças do aparelho digestivo,1082
350170,Cap 12,XII. Doenças da pele e do tecido subcutâneo,114
350170,Cap 13,XIII. Doenças osteomusculares e do tecido conjuntivo,169
350170,Cap 14,XIV. Doenças do aparelho geniturinário,768
350170,Cap 15,"XV. Gravidez, parto e puerpério",1
350170,Cap 17,XVII. Malformações congênitas e anomalias cromossômicas,22
350170,Cap 18,XVIII. Sintomas e achados anormais não classificados,57
350170,Cap 19,XIX. Lesões e envenenamentos por causas externas,88
350170,Cap 21,XXI. Contatos com serviços de saúde,21
350190,Cap 01,I. Doenças infecciosas e parasitárias,150
350190,Cap 02,II. Neoplasias (tumores),95
350190,Cap 03,III. Doenças do sangue e transtornos imunitários,138
350190,Cap 04,"IV. Doenças endócrinas, nutricionais e metabólicas",104
350190,Cap 05,V. Transtornos mentais e comportamentais,1121
350190,Cap 06,VI. Doenças do sistema nervoso,79
350190,Cap 07,VII. Doenças do olho e anexos,177
350190,Cap 08,VIII. Doenças do ouvido e da apófise mastóide,4
350190,Cap 09,IX. Doenças do aparelho circulatório,351
350190,Cap 10,X. Doenças do aparelho respiratório,316
350190,Cap 11,XI. Doenças do aparelho digestivo,405
350190,Cap 12,XII. Doenças da pele e do tecido subcutâneo,60
350190,Cap 13,XIII. Doenças osteomusculares e do tecido conjuntivo,108
350190,Cap 14,XIV. Doenças do aparelho geniturinário,214
350190,Cap 15,"XV. Gravidez, parto e puerpério",591
350190,Cap 16,XVI. Afecções originadas no período perinatal,50
350190,Cap 17,XVII. Malformações congênitas e anomalias cromossômicas,4
350190,Cap 18,XVIII. Sintomas e achados anormais não classificados,60
350190,Cap 19,XIX. Lesões e envenenamentos por causas externas,543
350190,Cap 21,XXI. Contatos com serviços de saúde,33
350210,Cap 01,I. Doenças infecciosas e parasitárias,218
350210,Cap 02,II. Neoplasias (tumores),122
350210,Cap 03,III. Doenças do sangue e transtornos imunitários,83
350210,Cap 04,"IV. Doenças endócrinas, nutricionais e metabólicas",69
350210,Cap 05,V. Transtornos mentais e comportamentais,23
350210,Cap 06,VI. Doenças do sistema nervoso,170
350210,Cap 08,VIII. Doenças do ouvido e da apófise mastóide,2
350210,Cap 09,IX. Doenças do aparelho circulatório,407
350210,Cap 10,X. Doenças do aparelho respiratório,396
350210,Cap 11,XI. Doenças do aparelho digestivo,449
350210,Cap 12,XII. Doenças da pele e do tecido subcutâneo,72
350210,Cap 13,XIII. Doenças osteomusculares e do tecido conjuntivo,108
350210,Cap 14,XIV. Doenças do aparelho geniturinário,365
350210,Cap 15,"XV. Gravidez, parto e puerpério",455
350210,Cap 16,XVI. Afecções originadas no período perinatal,40
350210,Cap 17,XVII. Malformações congênitas e anomalias cromossômicas,2
350210,Cap 18,XVIII. Sintomas e achados anormais não classificados,102
350210,Cap 19,XIX. Lesões e envenenamentos por causas externas,123
350210,Cap 21,XXI. Contatos com serviços de saúde,146
350220,Cap 01,I. Doenças infecciosas e parasitárias,53
350220,Cap 02,II. Neoplasias (tumores),41
350220,Cap 03,III. Doenças do sangue e transtornos imunitários,50
350220,Cap 04,"IV. Doenças endócrinas, nutricionais e metabólicas",58
350220,Cap 05,V. Transtornos mentais e comportamentais,36
350220,Cap 06,VI. Doenças do sistema nervoso,22
350220,Cap 07,VII. Doenças do olho e anexos,2
350220,Cap 08,VIII. Doenças do ouvido e da apófise mastóide,3
350220,Cap 09,IX. Doenças do aparelho circulatório,189
350220,Cap 10,X. Doenças do aparelho respiratório,312
350220,Cap 11,XI. Doenças do aparelho digestivo,146
350220,Cap 12,XII. Doenças da pele e do tecido subcutâneo,52
350220,Cap 13,XIII. Doenças osteomusculares e do tecido conjuntivo,15
350220,Cap 14,XIV. Doenças do aparelho geniturinário,129
350220,Cap 15,"XV. Gravidez, parto e puerpério",329
350220,Cap 16,XVI. Afecções originadas no período perinatal,21
350220,Cap 17,XVII. Malformações congênitas e anomalias cromossômicas,1
350220,Cap 18,XVIII. Sintomas e achados anormais não classificados,88
350220,Cap 19,XIX. Lesões e envenenamentos por causas externas,172
350220,Cap 21,XXI. Contatos com serviços de saúde,83
350250,Cap 01,I. Doenças infecciosas e parasitárias,272
350250,Cap 02,II. Neoplasias (tumores),474
350250,Cap 03,III. Doenças do sangue e transtornos imunitários,48
350250,Cap 04,"IV. Doenças endócrinas, nutricionais e metabólicas",62
350250,Cap 05,V. Transtornos mentais e comportamentais,6
350250,Cap 06,VI. Doenças do sistema nervoso,125
350250,Cap 07,VII. Doenças do olho e anexos,542
350250,Cap 08,VIII. Doenças do ouvido e da apófise mastóide,2
350250,Cap 09,IX. Doenças do aparelho circulatório,695
350250,Cap 10,X. Doenças do aparelho respiratório,436
350250,Cap 11,XI. Doenças do aparelho digestivo,505
350250,Cap 12,XII. Doenças da pele e do tecido subcutâneo,198
350250,Cap 13,XIII. Doenças osteomusculares e do tecido conjuntivo,113
350250,Cap 14,XIV. Doenças do aparelho geniturinário,1091
350250,Cap 16,XVI. Afecções originadas no período perinatal,7
350250,Cap 17,XVII. Malformações congênitas e anomalias cromossômicas,4
350250,Cap 18,XVIII. Sintomas e achados anormais não classificados,17
350250,Cap 19,XIX. Lesões e envenenamentos por causas externas,412
350250,Cap 21,XXI. Contatos com serviços de saúde,136
350260,Cap 01,I. Doenças infecciosas e parasitárias,20
350260,Cap 03,III. Doenças do sangue e transtornos imunitários,5
350260,Cap 04,"IV. Doenças endócrinas, nutricionais e metabólicas",9
350260,Cap 05,V. Transtornos mentais e comportamentais,1
350260,Cap 06,VI. Doenças do sistema nervoso,1
350260,Cap 09,IX. Doenças do aparelho circulatório,4
350260,Cap 10,X. Doenças do aparelho respiratório,31
350260,Cap 12,XII. Doenças da pele e do tecido subcutâneo,2
350260,Cap 13,XIII. Doenças osteomusculares e do tecido conjuntivo,4
350260,Cap 14,XIV. Doenças do aparelho geniturinário,9
350260,Cap 18,XVIII. Sintomas e achados anormais não classificados,3
350270,Cap 01,I. Doenças infecciosas e parasitárias,95
350270,Cap 02,II. Neoplasias (tumores),40
350270,Cap 03,III. Doenças do sangue e transtornos imunitários,78
350270,Cap 04,"IV. Doenças endócrinas, nutricionais e metabólicas",65
350270,Cap 05,V. Transtornos mentais e comportamentais,59
350270,Cap 06,VI. Doenças do sistema nervoso,55
350270,Cap 08,VIII. Doenças do ouvido e da apófise mastóide,4
350270,Cap 09,IX. Doenças do aparelho circulatório,390
350270,Cap 10,X. Doenças do aparelho respiratório,527
350270,Cap 11,XI. Doenças do aparelho digestivo,558
350270,Cap 12,XII. Doenças da pele e do tecido subcutâneo,283
350270,Cap 13,XIII. Doenças osteomusculares e do tecido conjuntivo,33
350270,Cap 14,XIV. Doenças do aparelho geniturinário,375
350270,Cap 15,"XV. Gravidez, parto e puerpério",587
350270,Cap 16,XVI. Afecções originadas no período perinatal,48
350270,Cap 17,XVII. Malformações congênitas e anomalias cromossômicas,14
350270,Cap 18,XVIII. Sintomas e achados anormais não classificados,22
350270,Cap 19,XIX. Lesões e envenenamentos por causas externas,104
350270,Cap 21,XXI. Contatos com serviços de saúde,402
350280,Cap 01,I. Doenças infecciosas e parasitárias,472
350280,Cap 02,II. Neoplasias (tumores),1552
350280,Cap 03,III. Doenças do sangue e transtornos imunitários,86
350280,Cap 04,"IV. Doenças endócrinas, nutricionais e metabólicas",176
350280,Cap 05,V. Transtornos mentais e comportamentais,8
350280,Cap 06,VI. Doenças do sistema nervoso,601
350280,Cap 07,VII. Doenças do olho e anexos,144
350280,Cap 08,VIII. Doenças do ouvido e da apófise mastóide,46
350280,Cap 09,IX. Doenças do aparelho circulatório,2143
350280,Cap 10,X. Doenças do aparelho respiratório,1391
350280,Cap 11,XI. Doenças do aparelho digestivo,1353
350280,Cap 12,XII. Doenças da pele e do tecido subcutâneo,377
350280,Cap 13,XIII. Doenças osteomusculares e do tecido conjuntivo,358
350280,Cap 14,XIV. Doenças do aparelho geniturinário,1063
350280,Cap 15,"XV. Gravidez, parto e puerpério",1342
350280,Cap 16,XVI. Afecções originadas no período perinatal,537
350280,Cap 17,XVII. Malformações congênitas e anomalias cromossômicas,83
350280,Cap 18,XVIII. Sintomas e achados anormais não classificados,176
350280,Cap 19,XIX. Lesões e envenenamentos por causas externas,2085
350280,Cap 21,XXI. Contatos com serviços de saúde,38
350310,Cap 01,I. Doenças infecciosas e parasitárias,17
350310,Cap 03,III. Doenças do sangue e transtornos imunitários,4
350310,Cap 04,"IV. Doenças endócrinas, nutricionais e metabólicas",8
350310,Cap 09,IX. Doenças do aparelho circulatório,18
350310,Cap 10,X. Doenças do aparelho respiratório,33
350310,Cap 11,XI. Doenças do aparelho digestivo,1
350310,Cap 14,XIV. Doenças do aparelho geniturinário,12
350320,Cap 01,I. Doenças infecciosas e parasitárias,363
350320,Cap 02,II. Neoplasias (tumores),2723
350320,Cap 03,III. Doenças do sangue e transtornos imunitários,161
350320,Cap 04,"IV. Doenças endócrinas, nutricionais e metabólicas",260
350320,Cap 05,V. Transtornos mentais e comportamentais,586
350320,Cap 06,VI. Doenças do sistema nervoso,516
350320,Cap 07,VII. Doenças do olho e anexos,747
350320,Cap 08,VIII. Doenças do ouvido e da apófise mastóide,17
350320,Cap 09,IX. Doenças do aparelho circulatório,2962
350320,Cap 10,X. Doenças do aparelho respiratório,1022
350320,Cap 11,XI. Doenças do aparelho digestivo,1724
350320,Cap 12,XII. Doenças da pele e do tecido subcutâneo,206
350320,Cap 13,XIII. Doenças osteomusculares e do tecido conjuntivo,535
350320,Cap 14,XIV. Doenças do aparelho geniturinário,1010
350320,Cap 15,"XV. Gravidez, parto e puerpério",2672
350320,Cap 16,XVI. Afecções originadas no período perinatal,383
350320,Cap 17,XVII. Malformações congênitas e anomalias cromossômicas,64
350320,Cap 18,XVIII. Sintomas e achados anormais não classificados,2916
350320,Cap 19,XIX. Lesões e envenenamentos por causas externas,1891
350320,Cap 21,XXI. Contatos com serviços de saúde,623
350330,Cap 01,I. Doenças infecciosas e parasitárias,292
350330,Cap 02,II. Neoplasias (tumores),593
350330,Cap 03,III. Doenças do sangue e transtornos imunitários,28
350330,Cap 04,"IV. Doenças endócrinas, nutricionais e metabólicas",175
350330,Cap 05,V. Transtornos mentais e comportamentais,35
350330,Cap 06,VI. Doenças do sistema nervoso,81
350330,Cap 07,VII. Doenças do olho e anexos,23
350330,Cap 08,VIII. Doenças do ouvido e da apófise mastóide,11
350330,Cap 09,IX. Doenças do aparelho circulatório,1268
350330,Cap 10,X. Doenças do aparelho respiratório,850
350330,Cap 11,XI. Doenças do aparelho digestivo,1123
350330,Cap 12,XII. Doenças da pele e do tecido subcutâneo,150
350330,Cap 13,XIII. Doenças osteomusculares e do tecido conjuntivo,85
350330,Cap 14,XIV. Doenças do aparelho geniturinário,779
350330,Cap 15,"XV. Gravidez, parto e puerpério",1146
350330,Cap 16,XVI. Afecções originadas no período perinatal,277
350330,Cap 17,XVII. Malformações congênitas e anomalias cromossômicas,62
350330,Cap 18,XVIII. Sintomas e achados anormais não classificados,138
350330,Cap 19,XIX. Lesões e envenenamentos por causas externas,722
350330,Cap 21,XXI. Contatos com serviços de saúde,212
350340,Cap 01,I. Doenças infecciosas e parasitárias,5
350340,Cap 02,II. Neoplasias (tumores),10
350340,Cap 03,III. Doenças do sangue e transtornos imunitários,3
350340,Cap 04,"IV. Doenças endócrinas, nutricionais e metabólicas",3
350340,Cap 05,V. Transtornos mentais e comportamentais,21
350340,Cap 06,VI. Doenças do sistema nervoso,6
350340,Cap 08,VIII. Doenças do ouvido e da apófise mastóide,1
350340,Cap 09,IX. Doenças do aparelho circulatório,28
350340,Cap 10,X. Doenças do aparelho respiratório,29
350340,Cap 11,XI. Doenças do aparelho digestivo,22
350340,Cap 12,XII. Doenças da pele e do tecido subcutâneo,4
350340,Cap 13,XIII. Doenças osteomusculares e do tecido conjuntivo,3
350340,Cap 14,XIV. Doenças do aparelho geniturinário,36
350340,Cap 15,"XV. Gravidez, parto e puerpério",23
350340,Cap 18,XVIII. Sintomas e achados anormais não classificados,15
350340,Cap 19,XIX. Lesões e envenenamentos por causas externas,48
350340,Cap 21,XXI. Contatos com serviços de saúde,3
350400,Cap 01,I. Doenças infecciosas e parasitárias,495
350400,Cap 02,II. Neoplasias (tumores),944
350400,Cap 03,III. Doenças do sangue e transtornos imunitários,110
350400,Cap 04,"IV. Doenças endócrinas, nutricionais e metabólicas",115
350400,Cap 05,V. Transtornos mentais e comportamentais,341
350400,Cap 06,VI. Doenças do sistema nervoso,131
350400,Cap 07,VII. Doenças do olho e anexos,1
350400,Cap 08,VIII. Doenças do ouvido e da apófise mastóide,4
350400,Cap 09,IX. Doenças do aparelho circulatório,1477
350400,Cap 10,X. Doenças do aparelho respiratório,840
350400,Cap 11,XI. Doenças do aparelho digestivo,1541
350400,Cap 12,XII. Doenças da pele e do tecido subcutâneo,161
350400,Cap 13,XIII. Doenças osteomusculares e do tecido conjuntivo,205
350400,Cap 14,XIV. Doenças do aparelho geniturinário,1182
350400,Cap 15,"XV. Gravidez, parto e puerpério",1560
350400,Cap 16,XVI. Afecções originadas no período perinatal,260
350400,Cap 17,XVII. Malformações congênitas e anomalias cromossômicas,48
350400,Cap 18,XVIII. Sintomas e achados anormais não classificados,206
350400,Cap 19,XIX. Lesões e envenenamentos por causas externas,1088
350400,Cap 21,XXI. Contatos com serviços de saúde,310
350410,Cap 01,I. Doenças infecciosas e parasitárias,183
350410,Cap 02,II. Neoplasias (tumores),122
350410,Cap 03,III. Doenças do sangue e transtornos imunitários,29
350410,Cap 04,"IV. Doenças endócrinas, nutricionais e metabólicas",80
350410,Cap 05,V. Transtornos mentais e comportamentais,3
350410,Cap 06,VI. Doenças do sistema nervoso,24
350410,Cap 07,VII. Doenças do olho e anexos,1
350410,Cap 08,VIII. Doenças do ouvido e da apófise mastóide,9
350410,Cap 09,IX. Doenças do aparelho circulatório,310
350410,Cap 10,X. Doenças do aparelho respiratório,592
350410,Cap 11,XI. Doenças do aparelho digestivo,318
350410,Cap 12,XII. Doenças da pele e do tecido subcutâneo,106
350410,Cap 13,XIII. Doenças osteomusculares e do tecido conjuntivo,38
350410,Cap 14,XIV. Doenças do aparelho geniturinário,538
350410,Cap 15,"XV. Gravidez, parto e puerpério",812
350410,Cap 16,XVI. Afecções originadas no período perinatal,42
350410,Cap 17,XVII. Malformações congênitas e anomalias cromossômicas,8
350410,Cap 18,XVIII. Sintomas e achados anormais não classificados,107
350410,Cap 19,XIX. Lesões e envenenamentos por causas externas,762
350410,Cap 21,XXI. Contatos com serviços de saúde,303
350420,Cap 01,I. Doenças infecciosas e parasitárias,32
350420,Cap 02,II. Neoplasias (tumores),262
350420,Cap 03,III. Doenças do sangue e transtornos imunitários,37
350420,Cap 04,"IV. Doenças endócrinas, nutricionais e metabólicas",135
350420,Cap 09,IX. Doenças do aparelho circulatório,52
350420,Cap 10,X. Doenças do aparelho respiratório,234
350420,Cap 11,XI. Doenças do aparelho digestivo,631
350420,Cap 12,XII. Doenças da pele e do tecido subcutâneo,54
350420,Cap 13,XIII. Doenças osteomusculares e do tecido conjuntivo,1
350420,Cap 14,XIV. Doenças do aparelho geniturinário,254
350420,Cap 15,"XV. Gravidez, parto e puerpério",94
350420,Cap 16,XVI. Afecções originadas no período perinatal,2
350420,Cap 18,XVIII. Sintomas e achados anormais não classificados,450
350420,Cap 19,XIX. Lesões e envenenamentos por causas externas,12
350420,Cap 21,XXI. Contatos com serviços de saúde,442
350450,Cap 01,I. Doenças infecciosas e parasitárias,298
350450,Cap 02,II. Neoplasias (tumores),201
350450,Cap 03,III. Doenças do sangue e transtornos imunitários,6
350450,Cap 04,"IV. Doenças endócrinas, nutricionais e metabólicas",84
350450,Cap 05,V. Transtornos mentais e comportamentais,6
350450,Cap 06,VI. Doenças do sistema nervoso,186
350450,Cap 09,IX. Doenças do aparelho circulatório,883
350450,Cap 10,X. Doenças do aparelho respiratório,366
350450,Cap 11,XI. Doenças do aparelho digestivo,1044
350450,Cap 12,XII. Doenças da pele e do tecido subcutâneo,85
350450,Cap 13,XIII. Doenças osteomusculares e do tecido conjuntivo,179
350450,Cap 14,XIV. Doenças do aparelho geniturinário,560
350450,Cap 15,"XV. Gravidez, parto e puerpério",1286
350450,Cap 16,XVI. Afecções originadas no período perinatal,106
350450,Cap 17,XVII. Malformações congênitas e anomalias cromossômicas,11
350450,Cap 18,XVIII. Sintomas e achados anormais não classificados,195
350450,Cap 19,XIX. Lesões e envenenamentos por causas externas,1869
350450,Cap 21,XXI. Contatos com serviços de saúde,398
350520,Cap 01,I. Doenças infecciosas e parasitárias,180
350520,Cap 02,II. Neoplasias (tumores),46
350520,Cap 03,III. Doenças do sangue e transtornos imunitários,32
350520,Cap 04,"IV. Doenças endócrinas, nutricionais e metabólicas",37
350520,Cap 05,V. Transtornos mentais e comportamentais,96
350520,Cap 06,VI. Doenças do sistema nervoso,59
350520,Cap 08,VIII. Doenças do ouvido e da apófise mastóide,2
350520,Cap 09,IX. Doenças do aparelho circulatório,199
350520,Cap 10,X. Doenças do aparelho respiratório,309
350520,Cap 11,XI. Doenças do aparelho digestivo,307
350520,Cap 12,XII. Doenças da pele e do tecido subcutâneo,23
350520,Cap 13,XIII. Doenças osteomusculares e do tecido conjuntivo,61
350520,Cap 14,XIV. Doenças do aparelho geniturinário,144
350520,Cap 15,"XV. Gravidez, parto e puerpério",349
350520,Cap 16,XVI. Afecções originadas no período perinatal,1
350520,Cap 17,XVII. Malformações congênitas e anomalias cromossômicas,3
350520,Cap 18,XVIII. Sintomas e achados anormais não classificados,36
350520,Cap 19,XIX. Lesões e envenenamentos por causas externas,186
350520,Cap 21,XXI. Contatos com serviços de saúde,27
350530,Cap 01,I. Doenças infecciosas e parasitárias,87
350530,Cap 02,II. Neoplasias (tumores),14
350530,Cap 03,III. Doenças do sangue e transtornos imunitários,42
350530,Cap 04,"IV. Doenças endócrinas, nutricionais e metabólicas",33
350530,Cap 05,V. Transtornos mentais e comportamentais,2
350530,Cap 06,VI. Doenças do sistema nervoso,28
350530,Cap 08,VIII. Doenças do ouvido e da apófise mastóide,4
350530,Cap 09,IX. Doenças do aparelho circulatório,244
350530,Cap 10,X. Doenças do aparelho respiratório,346
350530,Cap 11,XI. Doenças do aparelho digestivo,327
350530,Cap 12,XII. Doenças da pele e do tecido subcutâneo,71
350530,Cap 13,XIII. Doenças osteomusculares e do tecido conjuntivo,21
350530,Cap 14,XIV. Doenças do aparelho geniturinário,172
350530,Cap 15,"XV. Gravidez, parto e puerpério",194
350530,Cap 16,XVI. Afecções originadas no período perinatal,22
350530,Cap 17,XVII. Malformações congênitas e anomalias cromossômicas,1
350530,Cap 18,XVIII. Sintomas e achados anormais não classificados,29
350530,Cap 19,XIX. Lesões e envenenamentos por causas externas,265
350530,Cap 21,XXI. Contatos com serviços de saúde,34
350550,Cap 01,I. Doenças infecciosas e parasitárias,983
350550,Cap 02,II. Neoplasias (tumores),15111
