codigo,codigo_ibge,municipio,regiao_imediata,regiao_intermediaria,mesorregiao,populacao,ano,leitos_existentes,leitos_sus,leitos_sus_10k_hab,tem_rede_hospitalar,internacoes_12m,valor_total_12m,media_permanencia,internacoes_ult_trim,internacoes_prim_trim,variacao_trimestral_pct,perfil_dominante,internacoes_mil_hab,giro_leito_ano,ocupacao_estimada_pct,custo_medio_internacao,perfil_permanencia,alerta_capacidade
351770,3517703,Guará,Ituverava,Ribeirão Preto,Ribeirão Preto,18748,2025,50,46,24.54,True,801,397287.05,3.12,191.0,219.0,-12.8,"XV. Gravidez, parto e puerpério",42.72,17.4,14.9,495.99,Agudos,Adequado
351780,3517802,Guaraçaí,Andradina,Araçatuba,Araçatuba,7453,2025,23,15,20.13,True,540,265568.85,3.39,152.0,142.0,7.0,XI. Doenças do aparelho digestivo,72.45,36.0,33.4,491.79,Agudos,Adequado
351790,3517901,Guaraci,Barretos,Ribeirão Preto,São José do Rio Preto,10554,2025,0,0,0.0,False,0,0.0,0.0,,,,,0.0,,,0.0,Sem internações,Não aplicável
351800,3518008,Guarani d'Oeste,Fernandópolis,São José do Rio Preto,São José do Rio Preto,1999,2025,0,0,0.0,False,0,0.0,0.0,,,,,0.0,,,0.0,Sem internações,Não aplicável
351810,3518107,Guarantã,Lins,Bauru,Bauru,6532,2025,0,0,0.0,False,0,0.0,0.0,,,,,0.0,,,0.0,Sem internações,Não aplicável
351820,3518206,Guararapes,Araçatuba,Araçatuba,Araçatuba,31888,2025,74,63,19.76,True,1569,815426.16,4.33,398.0,415.0,-4.1,X. Doenças do aparelho respiratório,49.2,24.9,29.5,519.71,Agudos,Adequado
351830,3518305,Guararema,São Paulo,São Paulo,Metropolitana de São Paulo,32620,2025,31,29,8.89,True,1556,592049.72,2.98,442.0,378.0,16.9,"XV. Gravidez, parto e puerpério",47.7,53.7,43.8,380.49,Agudos,Adequado
351840,3518404,Guaratinguetá,Guaratinguetá,São José dos Campos,Vale do Paraíba Paulista,121916,2025,291,207,16.98,True,10111,17335864.83,5.12,3815.0,1736.0,119.8,XI. Doenças do aparelho digestivo,82.93,48.8,68.5,1714.55,Agudos,Adequado
351850,3518503,Guareí,Itapetininga,Sorocaba,Itapetininga,15285,2025,0,0,0.0,False,0,0.0,0.0,,,,,0.0,,,0.0,Sem internações,Não aplicável
351860,3518602,Guariba,Ribeirão Preto,Ribeirão Preto,Ribeirão Preto,38678,2025,61,53,13.7,True,1423,709835.84,2.8,379.0,336.0,12.8,"XV. Gravidez, parto e puerpério",36.79,26.8,20.6,498.83,Agudos,Adequado
351870,3518701,Guarujá,Santos,São Paulo,Metropolitana de São Paulo,294871,2025,396,312,10.58,True,13057,28195697.88,5.94,3142.0,3369.0,-6.7,"XV. Gravidez, parto e puerpério",44.28,41.8,68.1,2159.43,Agudos,Adequado
