codigo,municipio,periodo,media_permanencia
350220,ANGATUBA,2026/Fev,2.9
350220,ANGATUBA,2026/Mar,2.5
350220,ANGATUBA,2026/Abr,2.5
350220,ANGATUBA,2026/Mai,2.5
350220,ANGATUBA,2026/Jun,3.3
350250,APARECIDA,2025/Jul,3.6
350250,APARECIDA,2025/Ago,3.7
350250,APARECIDA,2025/Set,3.2
350250,APARECIDA,2025/Out,3.3
350250,APARECIDA,2025/Nov,2.4
350250,APARECIDA,2025/Dez,2.2
350250,APARECIDA,2026/Jan,3.1
350250,APARECIDA,2026/Fev,2.9
350250,APARECIDA,2026/Mar,2.6
350250,APARECIDA,2026/Abr,3.0
350250,APARECIDA,2026/Mai,3.3
350250,APARECIDA,2026/Jun,3.4
350260,APARECIDA D'OESTE,2025/Jul,1.8
350260,APARECIDA D'OESTE,2025/Ago,2.1
350260,APARECIDA D'OESTE,2025/Set,4.3
350260,APARECIDA D'OESTE,2025/Out,5.0
350260,APARECIDA D'OESTE,2025/Nov,3.8
350260,APARECIDA D'OESTE,2025/Dez,4.1
350260,APARECIDA D'OESTE,2026/Jan,2.0
350260,APARECIDA D'OESTE,2026/Fev,3.8
350260,APARECIDA D'OESTE,2026/Mar,2.8
350260,APARECIDA D'OESTE,2026/Abr,4.4
350260,APARECIDA D'OESTE,2026/Mai,2.9
350270,APIAI,2025/Jul,2.7
350270,APIAI,2025/Ago,2.8
350270,APIAI,2025/Set,2.7
350270,APIAI,2025/Out,2.7
350270,APIAI,2025/Nov,2.8
350270,APIAI,2025/Dez,2.4
350270,APIAI,2026/Jan,2.5
350270,APIAI,2026/Fev,2.9
350270,APIAI,2026/Mar,2.7
350270,APIAI,2026/Abr,2.4
350270,APIAI,2026/Mai,2.1
350270,APIAI,2026/Jun,2.6
350280,ARACATUBA,2025/Jul,7.8
350280,ARACATUBA,2025/Ago,7.8
350280,ARACATUBA,2025/Set,8.2
350280,ARACATUBA,2025/Out,7.5
350280,ARACATUBA,2025/Nov,9.2
350280,ARACATUBA,2025/Dez,9.1
350280,ARACATUBA,2026/Jan,7.7
350280,ARACATUBA,2026/Fev,8.9
350280,ARACATUBA,2026/Mar,7.5
350280,ARACATUBA,2026/Abr,8.5
350280,ARACATUBA,2026/Mai,7.5
350280,ARACATUBA,2026/Jun,7.8
350310,ARANDU,2025/Jul,4.3
350310,ARANDU,2025/Ago,5.3
350310,ARANDU,2025/Set,4.3
350310,ARANDU,2025/Out,5.1
350310,ARANDU,2025/Nov,4.4
350310,ARANDU,2025/Dez,5.9
350310,ARANDU,2026/Jan,5.1
350310,ARANDU,2026/Fev,6.8
350310,ARANDU,2026/Mar,3.4
350310,ARANDU,2026/Abr,5.4
350310,ARANDU,2026/Mai,5.0
350320,ARARAQUARA,2025/Jul,4.2
350320,ARARAQUARA,2025/Ago,3.9
350320,ARARAQUARA,2025/Set,3.8
350320,ARARAQUARA,2025/Out,4.0
350320,ARARAQUARA,2025/Nov,3.6
350320,ARARAQUARA,2025/Dez,3.9
350320,ARARAQUARA,2026/Jan,4.0
350320,ARARAQUARA,2026/Fev,3.9
350320,ARARAQUARA,2026/Mar,3.6
350320,ARARAQUARA,2026/Abr,3.6
350320,ARARAQUARA,2026/Mai,3.7
350320,ARARAQUARA,2026/Jun,3.6
350330,ARARAS,2025/Jul,5.5
350330,ARARAS,2025/Ago,5.0
350330,ARARAS,2025/Set,5.1
350330,ARARAS,2025/Out,4.5
350330,ARARAS,2025/Nov,4.0
350330,ARARAS,2025/Dez,4.4
350330,ARARAS,2026/Jan,3.9
350330,ARARAS,2026/Fev,3.7
350330,ARARAS,2026/Mar,4.5
350330,ARARAS,2026/Abr,4.3
350330,ARARAS,2026/Mai,4.4
350330,ARARAS,2026/Jun,4.9
350340,AREALVA,2025/Jul,2.3
350340,AREALVA,2025/Ago,1.6
350340,AREALVA,2025/Set,2.3
350340,AREALVA,2025/Out,1.8
350340,AREALVA,2025/Nov,2.4
350340,AREALVA,2025/Dez,3.2
350340,AREALVA,2026/Jan,2.9
350340,AREALVA,2026/Fev,2.0
350340,AREALVA,2026/Mar,1.9
350340,AREALVA,2026/Abr,3.1
350340,AREALVA,2026/Mai,3.0
350340,AREALVA,2026/Jun,2.4
350400,ASSIS,2025/Jul,4.3
350400,ASSIS,2025/Ago,4.6
350400,ASSIS,2025/Set,4.3
350400,ASSIS,2025/Out,4.6
350400,ASSIS,2025/Nov,4.5
350400,ASSIS,2025/Dez,4.7
350400,ASSIS,2026/Jan,4.8
350400,ASSIS,2026/Fev,4.6
350400,ASSIS,2026/Mar,4.2
350400,ASSIS,2026/Abr,4.8
350400,ASSIS,2026/Mai,4.9
350400,ASSIS,2026/Jun,4.6
350410,ATIBAIA,2025/Jul,4.4
350410,ATIBAIA,2025/Ago,5.1
350410,ATIBAIA,2025/Set,5.0
350410,ATIBAIA,2025/Out,4.4
350410,ATIBAIA,2025/Nov,4.8
350410,ATIBAIA,2025/Dez,4.9
350410,ATIBAIA,2026/Jan,4.1
350410,ATIBAIA,2026/Fev,4.9
350410,ATIBAIA,2026/Mar,4.6
350410,ATIBAIA,2026/Abr,4.7
350410,ATIBAIA,2026/Mai,4.7
350410,ATIBAIA,2026/Jun,5.1
350420,AURIFLAMA,2025/Jul,1.7
350420,AURIFLAMA,2025/Ago,1.9
350420,AURIFLAMA,2025/Set,2.1
350420,AURIFLAMA,2025/Out,1.7
350420,AURIFLAMA,2025/Nov,1.6
350420,AURIFLAMA,2025/Dez,1.6
350420,AURIFLAMA,2026/Jan,1.7
350420,AURIFLAMA,2026/Fev,1.5
350420,AURIFLAMA,2026/Mar,1.9
350420,AURIFLAMA,2026/Abr,1.7
350420,AURIFLAMA,2026/Mai,1.6
350420,AURIFLAMA,2026/Jun,2.0
350450,AVARE,2025/Jul,4.4
350450,AVARE,2025/Ago,4.0
350450,AVARE,2025/Set,4.4
350450,AVARE,2025/Out,4.0
350450,AVARE,2025/Nov,3.8
350450,AVARE,2025/Dez,3.7
350450,AVARE,2026/Jan,4.7
350450,AVARE,2026/Fev,4.3
350450,AVARE,2026/Mar,3.8
350450,AVARE,2026/Abr,3.9
350450,AVARE,2026/Mai,4.1
350450,AVARE,2026/Jun,4.2
350520,BARIRI,2025/Jul,3.3
350520,BARIRI,2025/Ago,2.7
350520,BARIRI,2025/Set,3.1
350520,BARIRI,2025/Out,2.9
350520,BARIRI,2025/Nov,2.9
350520,BARIRI,2025/Dez,3.2
350520,BARIRI,2026/Jan,3.2
350520,BARIRI,2026/Fev,3.1
350520,BARIRI,2026/Mar,3.4
350520,BARIRI,2026/Abr,3.4
350520,BARIRI,2026/Mai,3.1
350520,BARIRI,2026/Jun,3.6
350530,BARRA BONITA,2025/Jul,2.8
350530,BARRA BONITA,2025/Ago,3.0
350530,BARRA BONITA,2025/Set,2.7
350530,BARRA BONITA,2025/Out,2.8
350530,BARRA BONITA,2025/Nov,3.0
350530,BARRA BONITA,2025/Dez,3.0
350530,BARRA BONITA,2026/Jan,3.9
350530,BARRA BONITA,2026/Fev,3.6
350530,BARRA BONITA,2026/Mar,3.3
350530,BARRA BONITA,2026/Abr,3.1
350530,BARRA BONITA,2026/Mai,2.4
350530,BARRA BONITA,2026/Jun,3.4
350550,BARRETOS,2025/Jul,5.3
350550,BARRETOS,2025/Ago,4.8
350550,BARRETOS,2025/Set,4.8
350550,BARRETOS,2025/Out,5.5
350550,BARRETOS,2025/Nov,4.9
350550,BARRETOS,2025/Dez,5.6
350550,BARRETOS,2026/Jan,4.8
350550,BARRETOS,2026/Fev,5.2
350550,BARRETOS,2026/Mar,5.1
350550,BARRETOS,2026/Abr,5.1
350550,BARRETOS,2026/Mai,4.9
350550,BARRETOS,2026/Jun,5.2
350570,BARUERI,2025/Jul,3.8
350570,BARUERI,2025/Ago,3.9
350570,BARUERI,2025/Set,3.8
350570,BARUERI,2025/Out,3.7
350570,BARUERI,2025/Nov,3.9
350570,BARUERI,2025/Dez,4.2
350570,BARUERI,2026/Jan,3.8
350570,BARUERI,2026/Fev,3.9
350570,BARUERI,2026/Mar,3.6
350570,BARUERI,2026/Abr,3.7
350570,BARUERI,2026/Mai,3.4
350570,BARUERI,2026/Jun,3.9
350580,BASTOS,2025/Jul,1.7
350580,BASTOS,2025/Ago,2.3
350580,BASTOS,2025/Set,2.7
350580,BASTOS,2025/Out,3.0
350580,BASTOS,2025/Nov,2.7
350580,BASTOS,2025/Dez,2.9
350580,BASTOS,2026/Jan,2.6
350580,BASTOS,2026/Fev,2.9
350580,BASTOS,2026/Mar,2.7
350580,BASTOS,2026/Abr,2.5
350580,BASTOS,2026/Mai,2.2
350580,BASTOS,2026/Jun,1.8
350590,BATATAIS,2025/Jul,4.5
350590,BATATAIS,2025/Ago,3.8
350590,BATATAIS,2025/Set,4.4
350590,BATATAIS,2025/Out,3.7
350590,BATATAIS,2025/Nov,3.7
350590,BATATAIS,2025/Dez,4.2
350590,BATATAIS,2026/Jan,4.5
350590,BATATAIS,2026/Fev,4.3
350590,BATATAIS,2026/Mar,4.7
350590,BATATAIS,2026/Abr,4.8
350590,BATATAIS,2026/Mai,4.3
350590,BATATAIS,2026/Jun,4.5
350600,BAURU,2025/Jul,5.3
350600,BAURU,2025/Ago,5.6
350600,BAURU,2025/Set,5.6
350600,BAURU,2025/Out,5.5
350600,BAURU,2025/Nov,4.8
350600,BAURU,2025/Dez,5.3
350600,BAURU,2026/Jan,5.0
350600,BAURU,2026/Fev,5.0
350600,BAURU,2026/Mar,5.2
350600,BAURU,2026/Abr,5.3
350600,BAURU,2026/Mai,5.4
350600,BAURU,2026/Jun,5.4
350610,BEBEDOURO,2025/Jul,2.7
350610,BEBEDOURO,2025/Ago,2.4
350610,BEBEDOURO,2025/Set,3.2
350610,BEBEDOURO,2025/Out,2.8
350610,BEBEDOURO,2025/Nov,2.8
350610,BEBEDOURO,2025/Dez,3.1
350610,BEBEDOURO,2026/Jan,2.8
350610,BEBEDOURO,2026/Fev,2.8
350610,BEBEDOURO,2026/Mar,3.0
350610,BEBEDOURO,2026/Abr,3.1
350610,BEBEDOURO,2026/Mai,3.2
350610,BEBEDOURO,2026/Jun,2.9
350630,BERNARDINO DE CAMPOS,2025/Jul,4.5
350630,BERNARDINO DE CAMPOS,2025/Ago,2.9
350630,BERNARDINO DE CAMPOS,2025/Set,3.6
350630,BERNARDINO DE CAMPOS,2025/Out,3.0
350630,BERNARDINO DE CAMPOS,2025/Nov,4.7
350630,BERNARDINO DE CAMPOS,2025/Dez,2.8
350630,BERNARDINO DE CAMPOS,2026/Jan,4.0
350630,BERNARDINO DE CAMPOS,2026/Fev,3.3
350630,BERNARDINO DE CAMPOS,2026/Mar,3.5
350630,BERNARDINO DE CAMPOS,2026/Abr,3.0
350630,BERNARDINO DE CAMPOS,2026/Mai,4.0
350630,BERNARDINO DE CAMPOS,2026/Jun,3.2
350635,BERTIOGA,2025/Jul,4.8
350635,BERTIOGA,2025/Ago,4.0
350635,BERTIOGA,2025/Set,3.7
350635,BERTIOGA,2025/Out,3.6
350635,BERTIOGA,2025/Nov,3.7
350635,BERTIOGA,2025/Dez,3.8
350635,BERTIOGA,2026/Jan,4.3
350635,BERTIOGA,2026/Fev,4.5
350635,BERTIOGA,2026/Mar,3.9
350635,BERTIOGA,2026/Abr,4.0
350635,BERTIOGA,2026/Mai,4.9
350635,BERTIOGA,2026/Jun,4.5
350640,BILAC,2025/Jul,2.9
350640,BILAC,2025/Ago,2.8
350640,BILAC,2025/Set,3.4
350640,BILAC,2025/Out,3.5
350640,BILAC,2025/Nov,2.3
350640,BILAC,2025/Dez,1.5
350640,BILAC,2026/Jan,1.5
350640,BILAC,2026/Fev,2.4
350640,BILAC,2026/Mar,2.6
350640,BILAC,2026/Abr,3.5
350640,BILAC,2026/Mai,2.8
350640,BILAC,2026/Jun,2.8
350650,BIRIGUI,2025/Jul,4.4
350650,BIRIGUI,2025/Ago,3.8
350650,BIRIGUI,2025/Set,4.9
350650,BIRIGUI,2025/Out,4.6
350650,BIRIGUI,2025/Nov,4.2
350650,BIRIGUI,2025/Dez,4.7
350650,BIRIGUI,2026/Jan,4.1
350650,BIRIGUI,2026/Fev,4.3
350650,BIRIGUI,2026/Mar,4.3
350650,BIRIGUI,2026/Abr,4.4
350650,BIRIGUI,2026/Mai,4.1
350650,BIRIGUI,2026/Jun,4.5
350670,BOA ESPERANCA DO SUL,2025/Jul,2.8
350670,BOA ESPERANCA DO SUL,2025/Ago,3.4
350670,BOA ESPERANCA DO SUL,2025/Set,2.5
350670,BOA ESPERANCA DO SUL,2025/Out,4.1
350670,BOA ESPERANCA DO SUL,2025/Nov,2.8
350670,BOA ESPERANCA DO SUL,2025/Dez,3.8
350670,BOA ESPERANCA DO SUL,2026/Jan,3.4
350670,BOA ESPERANCA DO SUL,2026/Fev,4.0
350670,BOA ESPERANCA DO SUL,2026/Mar,2.9
350670,BOA ESPERANCA DO SUL,2026/Abr,9.3
