codigo,codigo_ibge,municipio,populacao,ano
352020,3520202,Igaratá - SP,10984,2025
352030,3520301,Iguape - SP,29891,2025
352040,3520400,Ilhabela - SP,36559,2025
352042,3520426,Ilha Comprida - SP,14104,2025
352044,3520442,Ilha Solteira - SP,26257,2025
352050,3520509,Indaiatuba - SP,269657,2025
352060,3520608,Indiana - SP,5200,2025
352070,3520707,Indiaporã - SP,4113,2025
352080,3520806,Inúbia Paulista - SP,3671,2025
352090,3520905,Ipaussu - SP,13935,2025
352100,3521002,Iperó - SP,38277,2025
352110,3521101,Ipeúna - SP,7027,2025
352115,3521150,Ipiguá - SP,7115,2025
352120,3521200,Iporanga - SP,4083,2025
352130,3521309,Ipuã - SP,14701,2025
352140,3521408,Iracemápolis - SP,22500,2025
352150,3521507,Irapuã - SP,6932,2025
352160,3521606,Irapuru - SP,7120,2025
352170,3521705,Itaberá - SP,18263,2025
352180,3521804,Itaí - SP,25979,2025
352190,3521903,Itajobi - SP,17502,2025
352200,3522000,Itaju - SP,3715,2025
352210,3522109,Itanhaém - SP,118495,2025
352215,3522158,Itaoca - SP,3497,2025
352220,3522208,Itapecerica da Serra - SP,163003,2025
352230,3522307,Itapetininga - SP,164256,2025
352240,3522406,Itapeva - SP,92393,2025
352250,3522505,Itapevi - SP,242995,2025
352260,3522604,Itapira - SP,74038,2025
352265,3522653,Itapirapuã Paulista - SP,4420,2025
352270,3522703,Itápolis - SP,40445,2025
352280,3522802,Itaporanga - SP,14245,2025
352290,3522901,Itapuí - SP,14035,2025
352300,3523008,Itapura - SP,4002,2025
352310,3523107,Itaquaquecetuba - SP,382983,2025
352320,3523206,Itararé - SP,45213,2025
352330,3523305,Itariri - SP,15916,2025
352340,3523404,Itatiba - SP,127112,2025
352350,3523503,Itatinga - SP,19462,2025
352360,3523602,Itirapina - SP,16454,2025
352370,3523701,Itirapuã - SP,5857,2025
352380,3523800,Itobi - SP,8227,2025
352390,3523909,Itu - SP,175047,2025
352400,3524006,Itupeva - SP,74994,2025
352410,3524105,Ituverava - SP,38413,2025
352420,3524204,Jaborandi - SP,6280,2025
352430,3524303,Jaboticabal - SP,73473,2025
352440,3524402,Jacareí - SP,250952,2025
352450,3524501,Jaci - SP,7944,2025
352460,3524600,Jacupiranga - SP,16216,2025
352470,3524709,Jaguariúna - SP,62309,2025
352480,3524808,Jales - SP,50078,2025
352490,3524907,Jambeiro - SP,6611,2025
352500,3525003,Jandira - SP,121550,2025
352510,3525102,Jardinópolis - SP,47125,2025
352520,3525201,Jarinu - SP,40007,2025
352530,3525300,Jaú - SP,137409,2025
352540,3525409,Jeriquara - SP,4000,2025
352550,3525508,Joanópolis - SP,13131,2025
352560,3525607,João Ramalho - SP,4464,2025
352570,3525706,José Bonifácio - SP,37992,2025
352580,3525805,Júlio Mesquita - SP,4302,2025
352585,3525854,Jumirim - SP,3132,2025
352590,3525904,Jundiaí - SP,463039,2025
352600,3526001,Junqueirópolis - SP,20939,2025
352610,3526100,Juquiá - SP,17184,2025
352620,3526209,Juquitiba - SP,27969,2025
352630,3526308,Lagoinha - SP,5183,2025
352640,3526407,Laranjal Paulista - SP,27044,2025
352650,3526506,Lavínia - SP,9940,2025
