codigo,codigo_ibge,municipio,regiao_imediata,regiao_intermediaria,mesorregiao
353300,3533007,Nova Granada,São José do Rio Preto,São José do Rio Preto,São José do Rio Preto
353310,3533106,Nova Guataporanga,Dracena,Presidente Prudente,Presidente Prudente
353320,3533205,Nova Independência,Andradina,Araçatuba,Araçatuba
353325,3533254,Novais,Catanduva,São José do Rio Preto,São José do Rio Preto
353330,3533304,Nova Luzitânia,Araçatuba,Araçatuba,São José do Rio Preto
353340,3533403,Nova Odessa,Campinas,Campinas,Campinas
353350,3533502,Novo Horizonte,São José do Rio Preto,São José do Rio Preto,São José do Rio Preto
353360,3533601,Nuporanga,São Joaquim da Barra ¿ Orlândia,Ribeirão Preto,Ribeirão Preto
353370,3533700,Ocauçu,Marília,Marília,Marília
353380,3533809,Óleo,Avaré,Sorocaba,Assis
353390,3533908,Olímpia,Barretos,Ribeirão Preto,São José do Rio Preto
353400,3534005,Onda Verde,São José do Rio Preto,São José do Rio Preto,São José do Rio Preto
353410,3534104,Oriente,Marília,Marília,Marília
353420,3534203,Orindiúva,São José do Rio Preto,São José do Rio Preto,São José do Rio Preto
353430,3534302,Orlândia,São Joaquim da Barra ¿ Orlândia,Ribeirão Preto,Ribeirão Preto
353440,3534401,Osasco,São Paulo,São Paulo,Metropolitana de São Paulo
353450,3534500,Oscar Bressane,Marília,Marília,Marília
353460,3534609,Osvaldo Cruz,Adamantina - Lucélia,Presidente Prudente,Presidente Prudente
353470,3534708,Ourinhos,Ourinhos,Marília,Assis
353475,3534757,Ouroeste,Fernandópolis,São José do Rio Preto,São José do Rio Preto
353480,3534807,Ouro Verde,Dracena,Presidente Prudente,Presidente Prudente
353490,3534906,Pacaembu,Adamantina - Lucélia,Presidente Prudente,Presidente Prudente
353500,3535002,Palestina,São José do Rio Preto,São José do Rio Preto,São José do Rio Preto
353510,3535101,Palmares Paulista,Catanduva,São José do Rio Preto,São José do Rio Preto
353520,3535200,Palmeira d'Oeste,Jales,São José do Rio Preto,São José do Rio Preto
353530,3535309,Palmital,Assis,Marília,Assis
353540,3535408,Panorama,Dracena,Presidente Prudente,Presidente Prudente
353550,3535507,Paraguaçu Paulista,Assis,Marília,Assis
353560,3535606,Paraibuna,São José dos Campos,São José dos Campos,Vale do Paraíba Paulista
353570,3535705,Paraíso,Catanduva,São José do Rio Preto,São José do Rio Preto
353580,3535804,Paranapanema,Avaré,Sorocaba,Bauru
353590,3535903,Paranapuã,Jales,São José do Rio Preto,São José do Rio Preto
353600,3536000,Parapuã,Tupã,Marília,Presidente Prudente
353610,3536109,Pardinho,Botucatu,Bauru,Bauru
353620,3536208,Pariquera-Açu,Registro,Sorocaba,Litoral Sul Paulista
353625,3536257,Parisi,Votuporanga,São José do Rio Preto,São José do Rio Preto
353630,3536307,Patrocínio Paulista,Franca,Ribeirão Preto,Ribeirão Preto
353640,3536406,Paulicéia,Dracena,Presidente Prudente,Presidente Prudente
353650,3536505,Paulínia,Campinas,Campinas,Campinas
353657,3536570,Paulistânia,Bauru,Bauru,Bauru
353660,3536604,Paulo de Faria,São José do Rio Preto,São José do Rio Preto,São José do Rio Preto
353670,3536703,Pederneiras,Bauru,Bauru,Bauru
353680,3536802,Pedra Bela,Bragança Paulista,Campinas,Campinas
353690,3536901,Pedranópolis,Fernandópolis,São José do Rio Preto,São José do Rio Preto
353700,3537008,Pedregulho,Franca,Ribeirão Preto,Ribeirão Preto
353710,3537107,Pedreira,Campinas,Campinas,Campinas
353715,3537156,Pedrinhas Paulista,Assis,Marília,Assis
353720,3537206,Pedro de Toledo,Santos,São Paulo,Litoral Sul Paulista
353730,3537305,Penápolis,Birigui - Penápolis,Araçatuba,Araçatuba
353740,3537404,Pereira Barreto,Andradina,Araçatuba,Araçatuba
353750,3537503,Pereiras,Tatuí,Sorocaba,Itapetininga
353760,3537602,Peruíbe,Santos,São Paulo,Litoral Sul Paulista
353770,3537701,Piacatu,Birigui - Penápolis,Araçatuba,Araçatuba
353780,3537800,Piedade,Sorocaba,Sorocaba,Macro Metropolitana Paulista
353790,3537909,Pilar do Sul,Sorocaba,Sorocaba,Macro Metropolitana Paulista
353800,3538006,Pindamonhangaba,Taubaté - Pindamonhangaba,São José dos Campos,Vale do Paraíba Paulista
353810,3538105,Pindorama,Catanduva,São José do Rio Preto,São José do Rio Preto
353820,3538204,Pinhalzinho,Bragança Paulista,Campinas,Campinas
353830,3538303,Piquerobi,Presidente Epitácio-Presidente Venceslau,Presidente Prudente,Presidente Prudente
353850,3538501,Piquete,Guaratinguetá,São José dos Campos,Vale do Paraíba Paulista
353860,3538600,Piracaia,Bragança Paulista,Campinas,Macro Metropolitana Paulista
353870,3538709,Piracicaba,Piracicaba,Campinas,Piracicaba
353880,3538808,Piraju,Piraju,Marília,Assis
353890,3538907,Pirajuí,Bauru,Bauru,Bauru
353900,3539004,Pirangi,Catanduva,São José do Rio Preto,Ribeirão Preto
353910,3539103,Pirapora do Bom Jesus,São Paulo,São Paulo,Metropolitana de São Paulo
353920,3539202,Pirapozinho,Presidente Prudente,Presidente Prudente,Presidente Prudente
353930,3539301,Pirassununga,São Carlos,Araraquara,Campinas
353940,3539400,Piratininga,Bauru,Bauru,Bauru
353950,3539509,Pitangueiras,Ribeirão Preto,Ribeirão Preto,Ribeirão Preto
353960,3539608,Planalto,São José do Rio Preto,São José do Rio Preto,São José do Rio Preto
353970,3539707,Platina,Assis,Marília,Assis
353980,3539806,Poá,São Paulo,São Paulo,Metropolitana de São Paulo
353990,3539905,Poloni,São José do Rio Preto,São José do Rio Preto,São José do Rio Preto
354000,3540002,Pompéia,Marília,Marília,Marília
354010,3540101,Pongaí,Lins,Bauru,Bauru
354020,3540200,Pontal,Ribeirão Preto,Ribeirão Preto,Ribeirão Preto
354025,3540259,Pontalinda,Jales,São José do Rio Preto,São José do Rio Preto
354030,3540309,Pontes Gestal,Votuporanga,São José do Rio Preto,São José do Rio Preto
354040,3540408,Populina,Jales,São José do Rio Preto,São José do Rio Preto
354050,3540507,Porangaba,Tatuí,Sorocaba,Itapetininga
354060,3540606,Porto Feliz,Sorocaba,Sorocaba,Macro Metropolitana Paulista
354070,3540705,Porto Ferreira,São Carlos,Araraquara,Campinas
354075,3540754,Potim,Guaratinguetá,São José dos Campos,Vale do Paraíba Paulista
354080,3540804,Potirendaba,São José do Rio Preto,São José do Rio Preto,São José do Rio Preto
354085,3540853,Pracinha,Adamantina - Lucélia,Presidente Prudente,Presidente Prudente
354090,3540903,Pradópolis,Ribeirão Preto,Ribeirão Preto,Ribeirão Preto
354100,3541000,Praia Grande,Santos,São Paulo,Metropolitana de São Paulo
354105,3541059,Pratânia,Botucatu,Bauru,Bauru
354110,3541109,Presidente Alves,Bauru,Bauru,Bauru
354120,3541208,Presidente Bernardes,Presidente Prudente,Presidente Prudente,Presidente Prudente
354130,3541307,Presidente Epitácio,Presidente Epitácio-Presidente Venceslau,Presidente Prudente,Presidente Prudente
354140,3541406,Presidente Prudente,Presidente Prudente,Presidente Prudente,Presidente Prudente
354150,3541505,Presidente Venceslau,Presidente Epitácio-Presidente Venceslau,Presidente Prudente,Presidente Prudente
354160,3541604,Promissão,Lins,Bauru,Bauru
354165,3541653,Quadra,Tatuí,Sorocaba,Itapetininga
354170,3541703,Quatá,Presidente Prudente,Presidente Prudente,Assis
354180,3541802,Queiroz,Tupã,Marília,Marília
354190,3541901,Queluz,Cruzeiro,São José dos Campos,Vale do Paraíba Paulista
354200,3542008,Quintana,Marília,Marília,Marília
354210,3542107,Rafard,Piracicaba,Campinas,Piracicaba
354220,3542206,Rancharia,Presidente Prudente,Presidente Prudente,Presidente Prudente
354230,3542305,Redenção da Serra,Taubaté - Pindamonhangaba,São José dos Campos,Vale do Paraíba Paulista
354240,3542404,Regente Feijó,Presidente Prudente,Presidente Prudente,Presidente Prudente
354250,3542503,Reginópolis,Bauru,Bauru,Bauru
354260,3542602,Registro,Registro,Sorocaba,Litoral Sul Paulista
354270,3542701,Restinga,Franca,Ribeirão Preto,Ribeirão Preto
354280,3542800,Ribeira,Itapeva,Sorocaba,Itapetininga
354290,3542909,Ribeirão Bonito,São Carlos,Araraquara,Araraquara
354300,3543006,Ribeirão Branco,Itapeva,Sorocaba,Itapetininga
354310,3543105,Ribeirão Corrente,Franca,Ribeirão Preto,Ribeirão Preto
354320,3543204,Ribeirão do Sul,Ourinhos,Marília,Assis
354323,3543238,Ribeirão dos Índios,Presidente Prudente,Presidente Prudente,Presidente Prudente
354325,3543253,Ribeirão Grande,Itapeva,Sorocaba,Itapetininga
354330,3543303,Ribeirão Pires,São Paulo,São Paulo,Metropolitana de São Paulo
354340,3543402,Ribeirão Preto,Ribeirão Preto,Ribeirão Preto,Ribeirão Preto
354350,3543501,Riversul,Itapeva,Sorocaba,Itapetininga
354360,3543600,Rifaina,Franca,Ribeirão Preto,Ribeirão Preto
354370,3543709,Rincão,Araraquara,Araraquara,Araraquara
354380,3543808,Rinópolis,Tupã,Marília,Presidente Prudente
354390,3543907,Rio Claro,Rio Claro,Campinas,Piracicaba
354400,3544004,Rio das Pedras,Piracicaba,Campinas,Piracicaba
354410,3544103,Rio Grande da Serra,São Paulo,São Paulo,Metropolitana de São Paulo
354420,3544202,Riolândia,Votuporanga,São José do Rio Preto,São José do Rio Preto
354425,3544251,Rosana,Presidente Prudente,Presidente Prudente,Presidente Prudente
354430,3544301,Roseira,Guaratinguetá,São José dos Campos,Vale do Paraíba Paulista
354440,3544400,Rubiácea,Araçatuba,Araçatuba,Araçatuba
354450,3544509,Rubinéia,Santa Fé do Sul,São José do Rio Preto,São José do Rio Preto
354460,3544608,Sabino,Lins,Bauru,Bauru
354470,3544707,Sagres,Adamantina - Lucélia,Presidente Prudente,Presidente Prudente
354480,3544806,Sales,São José do Rio Preto,São José do Rio Preto,São José do Rio Preto
354490,3544905,Sales Oliveira,São Joaquim da Barra ¿ Orlândia,Ribeirão Preto,Ribeirão Preto
354500,3545001,Salesópolis,São Paulo,São Paulo,Metropolitana de São Paulo
354510,3545100,Salmourão,Adamantina - Lucélia,Presidente Prudente,Presidente Prudente
354515,3545159,Saltinho,Piracicaba,Campinas,Piracicaba
354520,3545209,Salto,Sorocaba,Sorocaba,Macro Metropolitana Paulista
354530,3545308,Salto de Pirapora,Sorocaba,Sorocaba,Macro Metropolitana Paulista
354540,3545407,Salto Grande,Ourinhos,Marília,Assis
354550,3545506,Sandovalina,Presidente Prudente,Presidente Prudente,Presidente Prudente
354560,3545605,Santa Adélia,Catanduva,São José do Rio Preto,São José do Rio Preto
354570,3545704,Santa Albertina,Jales,São José do Rio Preto,São José do Rio Preto
354580,3545803,Santa Bárbara d'Oeste,Campinas,Campinas,Campinas
354600,3546009,Santa Branca,São José dos Campos,São José dos Campos,Vale do Paraíba Paulista
354610,3546108,Santa Clara d'Oeste,Santa Fé do Sul,São José do Rio Preto,São José do Rio Preto
354620,3546207,Santa Cruz da Conceição,Araras,Campinas,Piracicaba
354625,3546256,Santa Cruz da Esperança,Ribeirão Preto,Ribeirão Preto,Ribeirão Preto
354630,3546306,Santa Cruz das Palmeiras,São João da Boa Vista,Campinas,Campinas
354640,3546405,Santa Cruz do Rio Pardo,Ourinhos,Marília,Assis
354650,3546504,Santa Ernestina,Ribeirão Preto,Ribeirão Preto,Ribeirão Preto
354660,3546603,Santa Fé do Sul,Santa Fé do Sul,São José do Rio Preto,São José do Rio Preto
354670,3546702,Santa Gertrudes,Rio Claro,Campinas,Piracicaba
354680,3546801,Santa Isabel,São Paulo,São Paulo,Metropolitana de São Paulo
354690,3546900,Santa Lúcia,Araraquara,Araraquara,Araraquara
354700,3547007,Santa Maria da Serra,Piracicaba,Campinas,Piracicaba
354710,3547106,Santa Mercedes,Dracena,Presidente Prudente,Presidente Prudente
354720,3547205,Santana da Ponte Pensa,Santa Fé do Sul,São José do Rio Preto,São José do Rio Preto
354730,3547304,Santana de Parnaíba,São Paulo,São Paulo,Metropolitana de São Paulo
354740,3547403,Santa Rita d'Oeste,Santa Fé do Sul,São José do Rio Preto,São José do Rio Preto
354750,3547502,Santa Rita do Passa Quatro,São Carlos,Araraquara,Ribeirão Preto
354760,3547601,Santa Rosa de Viterbo,Ribeirão Preto,Ribeirão Preto,Ribeirão Preto
354765,3547650,Santa Salete,Jales,São José do Rio Preto,São José do Rio Preto
354770,3547700,Santo Anastácio,Presidente Prudente,Presidente Prudente,Presidente Prudente
354780,3547809,Santo André,São Paulo,São Paulo,Metropolitana de São Paulo
354790,3547908,Santo Antônio da Alegria,Ribeirão Preto,Ribeirão Preto,Ribeirão Preto
354800,3548005,Santo Antônio de Posse,Campinas,Campinas,Campinas
354805,3548054,Santo Antônio do Aracanguá,Araçatuba,Araçatuba,Araçatuba
354810,3548104,Santo Antônio do Jardim,São João da Boa Vista,Campinas,Campinas
354820,3548203,Santo Antônio do Pinhal,Taubaté - Pindamonhangaba,São José dos Campos,Vale do Paraíba Paulista
354830,3548302,Santo Expedito,Presidente Prudente,Presidente Prudente,Presidente Prudente
354840,3548401,Santópolis do Aguapeí,Birigui - Penápolis,Araçatuba,Araçatuba
354850,3548500,Santos,Santos,São Paulo,Metropolitana de São Paulo
354860,3548609,São Bento do Sapucaí,Taubaté - Pindamonhangaba,São José dos Campos,Vale do Paraíba Paulista
354870,3548708,São Bernardo do Campo,São Paulo,São Paulo,Metropolitana de São Paulo
354880,3548807,São Caetano do Sul,São Paulo,São Paulo,Metropolitana de São Paulo
354890,3548906,São Carlos,São Carlos,Araraquara,Araraquara
354900,3549003,São Francisco,Jales,São José do Rio Preto,São José do Rio Preto
354910,3549102,São João da Boa Vista,São João da Boa Vista,Campinas,Campinas
354920,3549201,São João das Duas Pontes,Fernandópolis,São José do Rio Preto,São José do Rio Preto
354925,3549250,São João de Iracema,Fernandópolis,São José do Rio Preto,São José do Rio Preto
354930,3549300,São João do Pau d'Alho,Dracena,Presidente Prudente,Presidente Prudente
354940,3549409,São Joaquim da Barra,São Joaquim da Barra ¿ Orlândia,Ribeirão Preto,Ribeirão Preto
354950,3549508,São José da Bela Vista,Franca,Ribeirão Preto,Ribeirão Preto
354960,3549607,São José do Barreiro,Cruzeiro,São José dos Campos,Vale do Paraíba Paulista
354970,3549706,São José do Rio Pardo,São José do Rio Pardo - Mococa,Campinas,Campinas
354980,3549805,São José do Rio Preto,São José do Rio Preto,São José do Rio Preto,São José do Rio Preto
354990,3549904,São José dos Campos,São José dos Campos,São José dos Campos,Vale do Paraíba Paulista
354995,3549953,São Lourenço da Serra,São Paulo,São Paulo,Metropolitana de São Paulo
355000,3550001,São Luiz do Paraitinga,Taubaté - Pindamonhangaba,São José dos Campos,Vale do Paraíba Paulista
355010,3550100,São Manuel,Botucatu,Bauru,Bauru
355020,3550209,São Miguel Arcanjo,Itapetininga,Sorocaba,Macro Metropolitana Paulista
355030,3550308,São Paulo,São Paulo,São Paulo,Metropolitana de São Paulo
355040,3550407,São Pedro,Piracicaba,Campinas,Piracicaba
355050,3550506,São Pedro do Turvo,Ourinhos,Marília,Assis
355060,3550605,São Roque,Sorocaba,Sorocaba,Macro Metropolitana Paulista
355070,3550704,São Sebastião,Caraguatatuba - Ubatuba - São Sebastião,São José dos Campos,Vale do Paraíba Paulista
355080,3550803,São Sebastião da Grama,São José do Rio Pardo - Mococa,Campinas,Campinas
355090,3550902,São Simão,Ribeirão Preto,Ribeirão Preto,Ribeirão Preto
355100,3551009,São Vicente,Santos,São Paulo,Metropolitana de São Paulo
355110,3551108,Sarapuí,Sorocaba,Sorocaba,Macro Metropolitana Paulista
355120,3551207,Sarutaiá,Piraju,Marília,Assis
355130,3551306,Sebastianópolis do Sul,Votuporanga,São José do Rio Preto,São José do Rio Preto
355140,3551405,Serra Azul,Ribeirão Preto,Ribeirão Preto,Ribeirão Preto
355150,3551504,Serrana,Ribeirão Preto,Ribeirão Preto,Ribeirão Preto
355160,3551603,Serra Negra,Amparo,Campinas,Campinas
355170,3551702,Sertãozinho,Ribeirão Preto,Ribeirão Preto,Ribeirão Preto
355180,3551801,Sete Barras,Registro,Sorocaba,Litoral Sul Paulista
355190,3551900,Severínia,Barretos,Ribeirão Preto,São José do Rio Preto
355200,3552007,Silveiras,Cruzeiro,São José dos Campos,Vale do Paraíba Paulista
355210,3552106,Socorro,Bragança Paulista,Campinas,Campinas
355220,3552205,Sorocaba,Sorocaba,Sorocaba,Macro Metropolitana Paulista
355230,3552304,Sud Mennucci,Andradina,Araçatuba,Araçatuba
355240,3552403,Sumaré,Campinas,Campinas,Campinas
355250,3552502,Suzano,São Paulo,São Paulo,Metropolitana de São Paulo
355255,3552551,Suzanápolis,Jales,São José do Rio Preto,Araçatuba
355260,3552601,Tabapuã,Catanduva,São José do Rio Preto,São José do Rio Preto
355270,3552700,Tabatinga,Araraquara,Araraquara,Araraquara
355280,3552809,Taboão da Serra,São Paulo,São Paulo,Metropolitana de São Paulo
355290,3552908,Taciba,Presidente Prudente,Presidente Prudente,Presidente Prudente
355300,3553005,Taguaí,Avaré,Sorocaba,Assis
355310,3553104,Taiaçu,Barretos,Ribeirão Preto,Ribeirão Preto
355320,3553203,Taiúva,Barretos,Ribeirão Preto,Ribeirão Preto
355330,3553302,Tambaú,São João da Boa Vista,Campinas,Campinas
355340,3553401,Tanabi,São José do Rio Preto,São José do Rio Preto,São José do Rio Preto
355350,3553500,Tapiraí,Sorocaba,Sorocaba,Macro Metropolitana Paulista
355360,3553609,Tapiratiba,São José do Rio Pardo - Mococa,Campinas,Campinas
355365,3553658,Taquaral,Barretos,Ribeirão Preto,Ribeirão Preto
355370,3553708,Taquaritinga,Araraquara,Araraquara,Ribeirão Preto
355380,3553807,Taquarituba,Avaré,Sorocaba,Itapetininga
355385,3553856,Taquarivaí,Itapeva,Sorocaba,Itapetininga
355390,3553906,Tarabai,Presidente Prudente,Presidente Prudente,Presidente Prudente
355395,3553955,Tarumã,Assis,Marília,Assis
355400,3554003,Tatuí,Tatuí,Sorocaba,Itapetininga
355410,3554102,Taubaté,Taubaté - Pindamonhangaba,São José dos Campos,Vale do Paraíba Paulista
355420,3554201,Tejupá,Piraju,Marília,Assis
355430,3554300,Teodoro Sampaio,Presidente Prudente,Presidente Prudente,Presidente Prudente
355440,3554409,Terra Roxa,Barretos,Ribeirão Preto,Ribeirão Preto
355450,3554508,Tietê,Sorocaba,Sorocaba,Piracicaba
355460,3554607,Timburi,Piraju,Marília,Assis
355465,3554656,Torre de Pedra,Tatuí,Sorocaba,Itapetininga
355470,3554706,Torrinha,Jaú,Bauru,Piracicaba
355475,3554755,Trabiju,Araraquara,Araraquara,Araraquara
355480,3554805,Tremembé,Taubaté - Pindamonhangaba,São José dos Campos,Vale do Paraíba Paulista
355490,3554904,Três Fronteiras,Santa Fé do Sul,São José do Rio Preto,São José do Rio Preto
355495,3554953,Tuiuti,Bragança Paulista,Campinas,Macro Metropolitana Paulista
355500,3555000,Tupã,Tupã,Marília,Marília
355510,3555109,Tupi Paulista,Dracena,Presidente Prudente,Presidente Prudente
355520,3555208,Turiúba,Birigui - Penápolis,Araçatuba,Araçatuba
355530,3555307,Turmalina,Jales,São José do Rio Preto,São José do Rio Preto
355535,3555356,Ubarana,São José do Rio Preto,São José do Rio Preto,São José do Rio Preto
355540,3555406,Ubatuba,Caraguatatuba - Ubatuba - São Sebastião,São José dos Campos,Vale do Paraíba Paulista
355550,3555505,Ubirajara,Bauru,Bauru,Bauru
355560,3555604,Uchoa,São José do Rio Preto,São José do Rio Preto,São José do Rio Preto
355570,3555703,União Paulista,São José do Rio Preto,São José do Rio Preto,São José do Rio Preto
355580,3555802,Urânia,Jales,São José do Rio Preto,São José do Rio Preto
355590,3555901,Uru,Lins,Bauru,Bauru
355600,3556008,Urupês,São José do Rio Preto,São José do Rio Preto,São José do Rio Preto
355610,3556107,Valentim Gentil,Votuporanga,São José do Rio Preto,São José do Rio Preto
355620,3556206,Valinhos,Campinas,Campinas,Campinas
355630,3556305,Valparaíso,Araçatuba,Araçatuba,Araçatuba
355635,3556354,Vargem,Bragança Paulista,Campinas,Macro Metropolitana Paulista
355640,3556404,Vargem Grande do Sul,São João da Boa Vista,Campinas,Campinas
355645,3556453,Vargem Grande Paulista,São Paulo,São Paulo,Metropolitana de São Paulo
355650,3556503,Várzea Paulista,Jundiaí,Campinas,Macro Metropolitana Paulista
355660,3556602,Vera Cruz,Marília,Marília,Marília
355670,3556701,Vinhedo,Campinas,Campinas,Campinas
355680,3556800,Viradouro,Barretos,Ribeirão Preto,Ribeirão Preto
355690,3556909,Vista Alegre do Alto,Catanduva,São José do Rio Preto,Ribeirão Preto
355695,3556958,Vitória Brasil,Jales,São José do Rio Preto,São José do Rio Preto
355700,3557006,Votorantim,Sorocaba,Sorocaba,Macro Metropolitana Paulista
355710,3557105,Votuporanga,Votuporanga,São José do Rio Preto,São José do Rio Preto
355715,3557154,Zacarias,Birigui - Penápolis,Araçatuba,São José do Rio Preto
355720,3557204,Chavantes,Ourinhos,Marília,Assis
355730,3557303,Estiva Gerbi,Mogi Guaçu,Campinas,Campinas
