codigo,municipio,periodo,valor_total
350220,ANGATUBA,2025/Ago,72705.17
350220,ANGATUBA,2025/Set,64226.05
350220,ANGATUBA,2025/Out,58677.79
350220,ANGATUBA,2025/Nov,54472.61
350220,ANGATUBA,2025/Dez,40578.59
350220,ANGATUBA,2026/Jan,62327.62
350220,ANGATUBA,2026/Fev,59790.07
350220,ANGATUBA,2026/Mar,41691.52
350220,ANGATUBA,2026/Abr,51536.49
350220,ANGATUBA,2026/Mai,58861.54
350220,ANGATUBA,2026/Jun,63210.79
350250,APARECIDA,2025/Jul,639841.2
350250,APARECIDA,2025/Ago,566040.93
350250,APARECIDA,2025/Set,521718.93
350250,APARECIDA,2025/Out,604892.85
350250,APARECIDA,2025/Nov,828147.92
350250,APARECIDA,2025/Dez,722628.02
350250,APARECIDA,2026/Jan,521605.15
350250,APARECIDA,2026/Fev,456607.93
350250,APARECIDA,2026/Mar,464492.54
350250,APARECIDA,2026/Abr,594596.23
350250,APARECIDA,2026/Mai,553677.19
350250,APARECIDA,2026/Jun,497535.8
350260,APARECIDA D'OESTE,2025/Jul,1453.13
350260,APARECIDA D'OESTE,2025/Ago,3494.62
350260,APARECIDA D'OESTE,2025/Set,2816.81
350260,APARECIDA D'OESTE,2025/Out,1707.75
350260,APARECIDA D'OESTE,2025/Nov,1956.88
350260,APARECIDA D'OESTE,2025/Dez,5596.62
350260,APARECIDA D'OESTE,2026/Jan,1771.26
350260,APARECIDA D'OESTE,2026/Fev,6333.52
350260,APARECIDA D'OESTE,2026/Mar,4393.1
350260,APARECIDA D'OESTE,2026/Abr,5260.77
350260,APARECIDA D'OESTE,2026/Mai,2331.91
350270,APIAI,2025/Jul,154721.63
350270,APIAI,2025/Ago,154587.81
350270,APIAI,2025/Set,148215.38
350270,APIAI,2025/Out,148682.68
350270,APIAI,2025/Nov,163788.89
350270,APIAI,2025/Dez,176468.06
350270,APIAI,2026/Jan,137681.82
350270,APIAI,2026/Fev,142810.3
350270,APIAI,2026/Mar,186387.77
350270,APIAI,2026/Abr,179076.43
350270,APIAI,2026/Mai,230527.14
350270,APIAI,2026/Jun,201025.08
350280,ARACATUBA,2025/Jul,4536269.0
350280,ARACATUBA,2025/Ago,4719544.36
350280,ARACATUBA,2025/Set,4365246.25
350280,ARACATUBA,2025/Out,4553483.46
350280,ARACATUBA,2025/Nov,4081672.07
350280,ARACATUBA,2025/Dez,3822378.92
350280,ARACATUBA,2026/Jan,4929726.72
350280,ARACATUBA,2026/Fev,4096541.87
350280,ARACATUBA,2026/Mar,4472514.59
350280,ARACATUBA,2026/Abr,4700408.44
350280,ARACATUBA,2026/Mai,4338516.59
350280,ARACATUBA,2026/Jun,4718384.73
350310,ARANDU,2025/Jul,3889.79
350310,ARANDU,2025/Ago,3979.93
350310,ARANDU,2025/Set,5537.15
350310,ARANDU,2025/Out,4366.04
350310,ARANDU,2025/Nov,4002.91
350310,ARANDU,2025/Dez,3250.13
350310,ARANDU,2026/Jan,3620.4
350310,ARANDU,2026/Fev,1664.66
350310,ARANDU,2026/Mar,1809.15
350310,ARANDU,2026/Abr,3446.52
350310,ARANDU,2026/Mai,2777.05
350320,ARARAQUARA,2025/Jul,4427374.2
350320,ARARAQUARA,2025/Ago,4461972.4
350320,ARARAQUARA,2025/Set,4338511.62
350320,ARARAQUARA,2025/Out,4293276.85
350320,ARARAQUARA,2025/Nov,4235245.53
350320,ARARAQUARA,2025/Dez,3652215.54
350320,ARARAQUARA,2026/Jan,3929086.16
350320,ARARAQUARA,2026/Fev,3430320.05
350320,ARARAQUARA,2026/Mar,3876839.44
350320,ARARAQUARA,2026/Abr,4220998.78
350320,ARARAQUARA,2026/Mai,4654639.04
350320,ARARAQUARA,2026/Jun,4809663.13
350330,ARARAS,2025/Jul,1575134.32
350330,ARARAS,2025/Ago,1258767.77
350330,ARARAS,2025/Set,1362270.75
350330,ARARAS,2025/Out,1395640.75
350330,ARARAS,2025/Nov,1359586.34
350330,ARARAS,2025/Dez,1350568.1
350330,ARARAS,2026/Jan,1268119.98
350330,ARARAS,2026/Fev,1067564.11
350330,ARARAS,2026/Mar,1462923.23
350330,ARARAS,2026/Abr,1216215.44
350330,ARARAS,2026/Mai,1518439.8
350330,ARARAS,2026/Jun,1318654.86
350340,AREALVA,2025/Jul,5074.3
350340,AREALVA,2025/Ago,5722.94
350340,AREALVA,2025/Set,7357.09
350340,AREALVA,2025/Out,5488.92
350340,AREALVA,2025/Nov,4930.76
350340,AREALVA,2025/Dez,3878.07
350340,AREALVA,2026/Jan,5193.05
350340,AREALVA,2026/Fev,3223.35
350340,AREALVA,2026/Mar,8704.4
350340,AREALVA,2026/Abr,4792.46
350340,AREALVA,2026/Mai,3754.89
350340,AREALVA,2026/Jun,1731.81
350400,ASSIS,2025/Jul,1712891.76
350400,ASSIS,2025/Ago,1696753.87
350400,ASSIS,2025/Set,1363491.89
350400,ASSIS,2025/Out,1584785.39
350400,ASSIS,2025/Nov,1374473.51
350400,ASSIS,2025/Dez,1660770.85
350400,ASSIS,2026/Jan,1284084.9
350400,ASSIS,2026/Fev,1339436.33
350400,ASSIS,2026/Mar,1607006.5
350400,ASSIS,2026/Abr,1555717.58
350400,ASSIS,2026/Mai,1693666.06
350400,ASSIS,2026/Jun,1680099.29
350410,ATIBAIA,2025/Jul,369881.8
350410,ATIBAIA,2025/Ago,393406.06
350410,ATIBAIA,2025/Set,423350.76
350410,ATIBAIA,2025/Out,300409.35
350410,ATIBAIA,2025/Nov,451276.02
350410,ATIBAIA,2025/Dez,463095.51
350410,ATIBAIA,2026/Jan,329259.14
350410,ATIBAIA,2026/Fev,423267.92
350410,ATIBAIA,2026/Mar,353141.29
350410,ATIBAIA,2026/Abr,387281.96
350410,ATIBAIA,2026/Mai,420934.36
350410,ATIBAIA,2026/Jun,425192.37
350420,AURIFLAMA,2025/Jul,183621.29
350420,AURIFLAMA,2025/Ago,184742.36
350420,AURIFLAMA,2025/Set,161542.78
350420,AURIFLAMA,2025/Out,168240.28
350420,AURIFLAMA,2025/Nov,179679.4
350420,AURIFLAMA,2025/Dez,427679.02
350420,AURIFLAMA,2026/Jan,178901.95
350420,AURIFLAMA,2026/Fev,275973.02
350420,AURIFLAMA,2026/Mar,197469.44
350420,AURIFLAMA,2026/Abr,305030.23
350420,AURIFLAMA,2026/Mai,352930.28
350420,AURIFLAMA,2026/Jun,350170.49
350450,AVARE,2025/Jul,1225583.18
350450,AVARE,2025/Ago,1190623.09
350450,AVARE,2025/Set,1022660.34
350450,AVARE,2025/Out,965199.91
350450,AVARE,2025/Nov,935012.25
350450,AVARE,2025/Dez,764014.59
350450,AVARE,2026/Jan,1155672.52
350450,AVARE,2026/Fev,1029543.05
350450,AVARE,2026/Mar,1016894.69
350450,AVARE,2026/Abr,1021287.26
350450,AVARE,2026/Mai,1066991.83
350450,AVARE,2026/Jun,1111760.6
350520,BARIRI,2025/Jul,91663.32
350520,BARIRI,2025/Ago,101049.16
350520,BARIRI,2025/Set,111024.58
350520,BARIRI,2025/Out,106569.17
350520,BARIRI,2025/Nov,79442.56
350520,BARIRI,2025/Dez,90410.02
350520,BARIRI,2026/Jan,83192.08
350520,BARIRI,2026/Fev,78880.34
350520,BARIRI,2026/Mar,82930.41
350520,BARIRI,2026/Abr,76204.45
350520,BARIRI,2026/Mai,86041.26
350520,BARIRI,2026/Jun,81486.93
350530,BARRA BONITA,2025/Jul,170834.99
350530,BARRA BONITA,2025/Ago,141092.06
350530,BARRA BONITA,2025/Set,183791.24
350530,BARRA BONITA,2025/Out,167393.23
350530,BARRA BONITA,2025/Nov,136895.41
350530,BARRA BONITA,2025/Dez,105909.16
350530,BARRA BONITA,2026/Jan,63981.92
350530,BARRA BONITA,2026/Fev,58271.05
350530,BARRA BONITA,2026/Mar,88338.71
350530,BARRA BONITA,2026/Abr,82479.54
350530,BARRA BONITA,2026/Mai,196830.74
350530,BARRA BONITA,2026/Jun,146850.01
350550,BARRETOS,2025/Jul,8807696.51
350550,BARRETOS,2025/Ago,8856490.9
350550,BARRETOS,2025/Set,9073076.84
350550,BARRETOS,2025/Out,7851276.68
350550,BARRETOS,2025/Nov,9093255.38
350550,BARRETOS,2025/Dez,8690892.51
350550,BARRETOS,2026/Jan,8013568.26
350550,BARRETOS,2026/Fev,8311371.26
350550,BARRETOS,2026/Mar,8232096.85
350550,BARRETOS,2026/Abr,8912522.37
350550,BARRETOS,2026/Mai,8563310.02
350550,BARRETOS,2026/Jun,8202209.95
350570,BARUERI,2025/Jul,2648476.2
350570,BARUERI,2025/Ago,2985883.01
350570,BARUERI,2025/Set,3191080.05
350570,BARUERI,2025/Out,3011125.01
350570,BARUERI,2025/Nov,2840584.45
350570,BARUERI,2025/Dez,2749368.27
350570,BARUERI,2026/Jan,2383277.77
350570,BARUERI,2026/Fev,2820535.74
350570,BARUERI,2026/Mar,3089453.86
350570,BARUERI,2026/Abr,2926234.11
350570,BARUERI,2026/Mai,2832560.29
350570,BARUERI,2026/Jun,3012360.25
350580,BASTOS,2025/Jul,61998.06
350580,BASTOS,2025/Ago,43089.82
350580,BASTOS,2025/Set,25922.21
350580,BASTOS,2025/Out,26734.05
350580,BASTOS,2025/Nov,26644.08
350580,BASTOS,2025/Dez,34298.27
350580,BASTOS,2026/Jan,31550.98
350580,BASTOS,2026/Fev,18556.05
350580,BASTOS,2026/Mar,46513.04
350580,BASTOS,2026/Abr,42908.72
350580,BASTOS,2026/Mai,57491.22
350580,BASTOS,2026/Jun,44726.39
350590,BATATAIS,2025/Jul,441868.69
350590,BATATAIS,2025/Ago,471523.24
350590,BATATAIS,2025/Set,469866.57
350590,BATATAIS,2025/Out,391928.07
350590,BATATAIS,2025/Nov,401297.22
350590,BATATAIS,2025/Dez,443995.96
350590,BATATAIS,2026/Jan,412572.3
350590,BATATAIS,2026/Fev,400643.91
350590,BATATAIS,2026/Mar,386075.18
350590,BATATAIS,2026/Abr,430564.18
350590,BATATAIS,2026/Mai,347848.48
350590,BATATAIS,2026/Jun,456660.57
350600,BAURU,2025/Jul,6023589.84
350600,BAURU,2025/Ago,6572680.59
350600,BAURU,2025/Set,6495232.43
350600,BAURU,2025/Out,7126621.85
350600,BAURU,2025/Nov,6154728.46
350600,BAURU,2025/Dez,6449225.47
350600,BAURU,2026/Jan,6069441.67
350600,BAURU,2026/Fev,5574305.37
350600,BAURU,2026/Mar,7097110.3
350600,BAURU,2026/Abr,6714998.45
350600,BAURU,2026/Mai,6982054.81
350600,BAURU,2026/Jun,7303519.37
350610,BEBEDOURO,2025/Jul,934128.34
350610,BEBEDOURO,2025/Ago,808411.52
350610,BEBEDOURO,2025/Set,777562.58
350610,BEBEDOURO,2025/Out,785670.14
350610,BEBEDOURO,2025/Nov,632748.37
350610,BEBEDOURO,2025/Dez,620782.68
350610,BEBEDOURO,2026/Jan,595927.27
350610,BEBEDOURO,2026/Fev,647067.47
350610,BEBEDOURO,2026/Mar,702280.94
350610,BEBEDOURO,2026/Abr,709461.3
350610,BEBEDOURO,2026/Mai,716831.47
350610,BEBEDOURO,2026/Jun,760407.27
350630,BERNARDINO DE CAMPOS,2025/Jul,28146.76
350630,BERNARDINO DE CAMPOS,2025/Ago,66303.91
350630,BERNARDINO DE CAMPOS,2025/Set,37493.91
350630,BERNARDINO DE CAMPOS,2025/Out,23388.34
350630,BERNARDINO DE CAMPOS,2025/Nov,28754.51
350630,BERNARDINO DE CAMPOS,2025/Dez,31935.34
350630,BERNARDINO DE CAMPOS,2026/Jan,16590.27
350630,BERNARDINO DE CAMPOS,2026/Fev,23963.91
350630,BERNARDINO DE CAMPOS,2026/Mar,55617.96
350630,BERNARDINO DE CAMPOS,2026/Abr,25031.35
350630,BERNARDINO DE CAMPOS,2026/Mai,23199.47
350630,BERNARDINO DE CAMPOS,2026/Jun,28546.06
350635,BERTIOGA,2025/Jul,140354.52
350635,BERTIOGA,2025/Ago,134292.89
