codigo,municipio,capitulo_cid10,internacoes
350170,AMERICO BRASILIENSE,Cap 05,61.0
350170,AMERICO BRASILIENSE,Cap 06,118.0
350170,AMERICO BRASILIENSE,Cap 07,1916.0
350170,AMERICO BRASILIENSE,Cap 08,59.0
350170,AMERICO BRASILIENSE,Cap 09,530.0
350170,AMERICO BRASILIENSE,Cap 10,868.0
350170,AMERICO BRASILIENSE,Cap 11,1082.0
350170,AMERICO BRASILIENSE,Cap 12,114.0
350170,AMERICO BRASILIENSE,Cap 13,169.0
350170,AMERICO BRASILIENSE,Cap 14,768.0
350170,AMERICO BRASILIENSE,Cap 15,1.0
350170,AMERICO BRASILIENSE,Cap 17,22.0
350170,AMERICO BRASILIENSE,Cap 18,57.0
350170,AMERICO BRASILIENSE,Cap 19,88.0
350170,AMERICO BRASILIENSE,Cap 21,21.0
350190,AMPARO,Cap 01,150.0
350190,AMPARO,Cap 02,95.0
350190,AMPARO,Cap 03,138.0
350190,AMPARO,Cap 04,104.0
350190,AMPARO,Cap 05,1121.0
350190,AMPARO,Cap 06,79.0
350190,AMPARO,Cap 07,177.0
350190,AMPARO,Cap 08,4.0
350190,AMPARO,Cap 09,351.0
350190,AMPARO,Cap 10,316.0
350190,AMPARO,Cap 11,405.0
350190,AMPARO,Cap 12,60.0
350190,AMPARO,Cap 13,108.0
350190,AMPARO,Cap 14,214.0
350190,AMPARO,Cap 15,591.0
350190,AMPARO,Cap 16,50.0
350190,AMPARO,Cap 17,4.0
350190,AMPARO,Cap 18,60.0
350190,AMPARO,Cap 19,543.0
350190,AMPARO,Cap 21,33.0
350210,ANDRADINA,Cap 01,218.0
350210,ANDRADINA,Cap 02,122.0
350210,ANDRADINA,Cap 03,83.0
350210,ANDRADINA,Cap 04,69.0
350210,ANDRADINA,Cap 05,23.0
350210,ANDRADINA,Cap 06,170.0
350210,ANDRADINA,Cap 08,2.0
350210,ANDRADINA,Cap 09,407.0
350210,ANDRADINA,Cap 10,396.0
350210,ANDRADINA,Cap 11,449.0
350210,ANDRADINA,Cap 12,72.0
350210,ANDRADINA,Cap 13,108.0
350210,ANDRADINA,Cap 14,365.0
350210,ANDRADINA,Cap 15,455.0
350210,ANDRADINA,Cap 16,40.0
350210,ANDRADINA,Cap 17,2.0
350210,ANDRADINA,Cap 18,102.0
350210,ANDRADINA,Cap 19,123.0
350210,ANDRADINA,Cap 21,146.0
350220,ANGATUBA,Cap 01,53.0
