codigo,codigo_ibge,municipio,regiao_imediata,regiao_intermediaria,mesorregiao,populacao,ano,leitos_existentes,leitos_sus,leitos_sus_10k_hab,tem_rede_hospitalar,internacoes_12m,valor_total_12m,media_permanencia,internacoes_ult_trim,internacoes_prim_trim,variacao_trimestral_pct,perfil_dominante,internacoes_mil_hab,giro_leito_ano,ocupacao_estimada_pct,custo_medio_internacao,perfil_permanencia,alerta_capacidade
350260,3502606,Aparecida d'Oeste,Jales,São José do Rio Preto,São José do Rio Preto,4112,2025,13,12,29.18,True,89,37116.37,3.36,20.0,20.0,0.0,X. Doenças do aparelho respiratório,21.64,7.4,6.8,417.04,Agudos,Adequado
350270,3502705,Apiaí,Itapeva,Sorocaba,Itapetininga,24857,2025,51,45,18.1,True,3739,2023972.99,2.61,1065.0,847.0,25.7,"XV. Gravidez, parto e puerpério",150.42,83.1,59.4,541.31,Agudos,Adequado
350275,3502754,Araçariguama,Sorocaba,Sorocaba,Macro Metropolitana Paulista,22314,2025,0,0,0.0,False,0,0.0,0.0,,,,,0.0,,,0.0,Sem internações,Não aplicável
350280,3502804,Araçatuba,Araçatuba,Araçatuba,Araçatuba,208415,2025,413,264,12.67,True,14031,53334687.0,8.12,3634.0,3628.0,0.2,IX. Doenças do aparelho circulatório,67.32,53.1,118.2,3801.2,Permanência elevada,Crítico
350290,3502903,Araçoiaba da Serra,Sorocaba,Sorocaba,Macro Metropolitana Paulista,33832,2025,103,0,0.0,True,0,0.0,0.0,,,,,0.0,,,0.0,Sem internações,Não aplicável
350300,3503000,Aramina,Ituverava,Ribeirão Preto,Ribeirão Preto,5535,2025,0,0,0.0,False,0,0.0,0.0,,,,,0.0,,,0.0,Sem internações,Não aplicável
350310,3503109,Arandu,Avaré,Sorocaba,Bauru,7076,2025,6,6,8.48,True,93,38343.73,5.0,16.0,31.0,-48.4,X. Doenças do aparelho respiratório,13.14,15.5,21.2,412.3,Agudos,Adequado
350315,3503158,Arapeí,Cruzeiro,São José dos Campos,Vale do Paraíba Paulista,2355,2025,0,0,0.0,False,0,0.0,0.0,,,,,0.0,,,0.0,Sem internações,Não aplicável
350320,3503208,Araraquara,Araraquara,Araraquara,Araraquara,253474,2025,463,258,10.18,True,21381,50330142.74,3.82,5469.0,5414.0,1.0,IX. Doenças do aparelho circulatório,84.35,82.9,86.7,2353.97,Agudos,Atenção
350330,3503307,Araras,Araras,Campinas,Piracicaba,135744,2025,392,180,13.26,True,8050,16153885.45,4.52,2286.0,1805.0,26.6,IX. Doenças do aparelho circulatório,59.3,44.7,55.4,2006.69,Agudos,Adequado
350335,3503356,Arco-Íris,Tupã,Marília,Marília,2089,2025,0,0,0.0,False,0,0.0,0.0,,,,,0.0,,,0.0,Sem internações,Não aplicável
350340,3503406,Arealva,Bauru,Bauru,Bauru,8290,2025,26,15,18.09,True,260,59852.04,2.41,62.0,73.0,-15.1,XIX. Lesões e envenenamentos por causas externas,31.36,17.3,11.4,230.2,Agudos,Adequado
350350,3503505,Areias,Cruzeiro,São José dos Campos,Vale do Paraíba Paulista,3617,2025,0,0,0.0,False,0,0.0,0.0,,,,,0.0,,,0.0,Sem internações,Não aplicável
350360,3503604,Areiópolis,Botucatu,Bauru,Bauru,10242,2025,0,0,0.0,False,0,0.0,0.0,,,,,0.0,,,0.0,Sem internações,Não aplicável
350370,3503703,Ariranha,Catanduva,São José do Rio Preto,São José do Rio Preto,7621,2025,0,0,0.0,False,0,0.0,0.0,,,,,0.0,,,0.0,Sem internações,Não aplicável
350380,3503802,Artur Nogueira,Campinas,Campinas,Campinas,53467,2025,8,8,1.5,True,0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,Sem internações,Não aplicável
350390,3503901,Arujá,São Paulo,São Paulo,Metropolitana de São Paulo,90273,2025,69,29,3.21,True,0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,Sem internações,Não aplicável
350395,3503950,Aspásia,Jales,São José do Rio Preto,São José do Rio Preto,1875,2025,0,0,0.0,False,0,0.0,0.0,,,,,0.0,,,0.0,Sem internações,Não aplicável
350400,3504008,Assis,Assis,Marília,Assis,104858,2025,288,161,15.35,True,11019,18553177.93,4.58,2801.0,2756.0,1.6,"XV. Gravidez, parto e puerpério",105.08,68.4,85.9,1683.74,Agudos,Atenção
350410,3504107,Atibaia,Bragança Paulista,Campinas,Macro Metropolitana Paulista,167161,2025,310,66,3.95,True,4387,4740496.54,4.73,1091.0,1159.0,-5.9,"XV. Gravidez, parto e puerpério",26.24,66.5,86.1,1080.58,Agudos,Atenção
350420,3504206,Auriflama,Araçatuba,Araçatuba,São José do Rio Preto,13856,2025,44,35,25.26,True,2692,2965980.54,1.75,782.0,603.0,29.7,XI. Doenças do aparelho digestivo,194.28,76.9,36.9,1101.78,Agudos,Adequado
350430,3504305,Avaí,Bauru,Bauru,Bauru,4503,2025,0,0,0.0,False,0,0.0,0.0,,,,,0.0,,,0.0,Sem internações,Não aplicável
